,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2349,2222.0,MIL_CHA,2023-04-10,137.0,67.0,70.0,277.0,157.0,120.0,0.49458483754512633,0.5833333333333334,0.4267515923566879,0.49458483754512633,15,2023
2337,2048.0,KAT_SAU_2,2023-04-10,58.0,10.0,48.0,302.0,107.0,195.0,0.19205298013245034,0.24615384615384617,0.09345794392523364,0.19205298013245034,15,2023
2317,2028.0,POV_DUN,2023-04-11,15.0,12.0,3.0,275.0,185.0,90.0,0.05454545454545454,0.03333333333333333,0.06486486486486487,0.6145454545454545,15,2023
2319,2030.0,DIP_PAT,2023-04-11,101.0,44.0,57.0,1602.0,817.0,785.0,0.06304619225967541,0.07261146496815286,0.05385556915544676,0.06304619225967541,15,2023
2323,2034.0,DIP_FLE,2023-04-11,329.0,159.0,170.0,1556.0,780.0,776.0,0.21143958868894602,0.2190721649484536,0.20384615384615384,0.282133676092545,15,2023
2321,2032.0,DIP_CUR,2023-04-11,172.0,26.0,146.0,1309.0,655.0,654.0,0.13139801375095492,0.22324159021406728,0.03969465648854962,0.15355233002291824,15,2023
2285,2054.0,STA_HEM,2023-04-12,72.0,49.0,23.0,1309.0,715.0,594.0,0.05500381970970206,0.03872053872053872,0.06853146853146853,0.05500381970970206,15,2023
2287,2056.0,STA_HEM_2,2023-04-12,73.0,45.0,28.0,891.0,516.0,375.0,0.0819304152637486,0.07466666666666667,0.0872093023255814,0.0819304152637486,15,2023
2289,2058.0,STA_WIL,2023-04-12,26.0,22.0,4.0,281.0,230.0,51.0,0.09252669039145907,0.0784313725490196,0.09565217391304348,0.09252669039145907,15,2023
2291,2060.0,STA_SWE,2023-04-12,2.0,2.0,0.0,366.0,297.0,69.0,0.00546448087431694,0.0,0.006734006734006734,0.00546448087431694,15,2023
2297,2102.0,SMI_CAN,2023-04-12,75.0,33.0,42.0,657.0,260.0,397.0,0.1141552511415525,0.10579345088161209,0.12692307692307692,0.1141552511415525,15,2023
2295,2100.0,SMI_CRO,2023-04-12,139.0,78.0,61.0,188.0,105.0,83.0,0.7393617021276596,0.7349397590361446,0.7428571428571429,0.7393617021276596,15,2023
2299,2104.0,SMI_KEL,2023-04-12,58.0,30.0,28.0,328.0,147.0,181.0,0.17682926829268292,0.15469613259668508,0.20408163265306123,0.17682926829268292,15,2023
2293,2062.0,STA_COL,2023-04-12,4.0,2.0,2.0,720.0,532.0,188.0,0.005555555555555556,0.010638297872340425,0.0037593984962406013,0.005555555555555556,15,2023
2303,2108.0,SMI_DOU,2023-04-12,32.0,14.0,18.0,114.0,52.0,62.0,0.2807017543859649,0.2903225806451613,0.2692307692307692,0.2807017543859649,15,2023
2315,2188.0,WIS_COO_2,2023-04-12,1.0,1.0,0.0,295.0,206.0,89.0,0.003389830508474576,0.0,0.0048543689320388345,0.003389830508474576,15,2023
2313,2186.0,WIS_COO,2023-04-12,25.0,16.0,9.0,1367.0,880.0,487.0,0.018288222384784197,0.018480492813141684,0.01818181818181818,0.018288222384784197,15,2023
2310,2120.0,SMI_JOH_2,2023-04-12,74.0,34.0,40.0,302.0,184.0,118.0,0.24503311258278146,0.3389830508474576,0.18478260869565216,0.24503311258278146,15,2023
2301,2106.0,SMI_COB,2023-04-12,75.0,51.0,24.0,245.0,187.0,58.0,0.30612244897959184,0.41379310344827586,0.2727272727272727,0.30612244897959184,15,2023
2307,2116.0,SMI_HOL,2023-04-12,123.0,63.0,60.0,352.0,226.0,126.0,0.3494318181818182,0.47619047619047616,0.27876106194690264,0.3494318181818182,15,2023
2305,2112.0,SMI_MCC,2023-04-12,38.0,17.0,21.0,264.0,138.0,126.0,0.14393939393939395,0.16666666666666666,0.12318840579710146,0.14393939393939395,15,2023
2308,2118.0,SMI_JOH,2023-04-12,115.0,64.0,51.0,497.0,258.0,239.0,0.23138832997987926,0.21338912133891214,0.24806201550387597,0.23138832997987926,15,2023
2283,2117.0,SMI_HOF,2023-04-13,168.0,88.0,80.0,444.0,244.0,200.0,0.3783783783783784,0.4,0.36065573770491804,0.3783783783783784,15,2023
2282,2114.0,SMI_DUR,2023-04-13,278.0,104.0,174.0,1550.0,602.0,948.0,0.17935483870967742,0.18354430379746836,0.17275747508305647,0.17935483870967742,15,2023
2280,2110.0,SMI_LAT,2023-04-13,67.0,25.0,42.0,521.0,197.0,324.0,0.12859884836852206,0.12962962962962962,0.12690355329949238,0.12859884836852206,15,2023
2274,2190.0,WIS_KEN,2023-04-14,29.0,23.0,6.0,448.0,296.0,152.0,0.06473214285714286,0.039473684210526314,0.0777027027027027,0.06473214285714286,15,2023
2276,2192.0,WIS_HIG,2023-04-14,1.0,0.0,1.0,160.0,98.0,62.0,0.00625,0.016129032258064516,0.0,0.00625,15,2023
2278,2194.0,WIS_MEG,2023-04-14,36.0,3.0,33.0,251.0,124.0,127.0,0.14342629482071714,0.25984251968503935,0.024193548387096774,0.14342629482071714,15,2023
2236,2072.0,GAB_ALL,2023-04-17,7.0,4.0,3.0,1143.0,822.0,321.0,0.006124234470691163,0.009345794392523364,0.004866180048661801,0.1294838145231846,16,2023
2238,2082.0,KAT_HAB,2023-04-17,3.0,1.0,2.0,242.0,139.0,103.0,0.012396694214876033,0.019417475728155338,0.007194244604316547,0.06198347107438017,16,2023
2240,2084.0,KAT_HAB_2,2023-04-17,25.0,9.0,16.0,516.0,324.0,192.0,0.04844961240310078,0.08333333333333333,0.027777777777777776,0.11434108527131784,16,2023
2242,2086.0,KAT_JEF,2023-04-17,0.0,0.0,0.0,109.0,62.0,47.0,0.0,0.0,0.0,0.01834862385321101,16,2023
2244,2088.0,KAT_JEF_2,2023-04-17,2.0,0.0,2.0,109.0,60.0,49.0,0.01834862385321101,0.04081632653061224,0.0,0.05504587155963303,16,2023
2246,2090.0,KAT_BAR,2023-04-17,0.0,0.0,0.0,769.0,226.0,543.0,0.0,0.0,0.0,0.036410923276983094,16,2023
2248,2092.0,KAT_SAU,2023-04-17,13.0,8.0,5.0,273.0,142.0,131.0,0.047619047619047616,0.03816793893129771,0.056338028169014086,0.4981684981684982,16,2023
2250,2094.0,KAT_SAU_2,2023-04-17,25.0,21.0,4.0,302.0,107.0,195.0,0.08278145695364239,0.020512820512820513,0.19626168224299065,0.27483443708609273,16,2023
