Record ID,Organic Matter Percent,Base Saturation Ca,Base Saturation Mg,Base Saturation K,Base Saturation Na,Base Saturation H,Base Saturation Total,Exch Acidity,Buffer pH,CEC,pH,Ca ppm,P ppm,Mg ppm,K ppm,Na ppm,Fe ppm,Zn ppm,Cu ppm,Mn ppm,B ppm,Al ppm,S ppm,Morgan P lb/A,Morgan K lb/A,Morgan  Ca lb/A,Morgan Mg lb/A
SMI_MCC,6.13,84.6,11.8,1.8,1.9,0,100,0,0,24.6,7.3,4170,98,352,169,106,233,11.4,3.1,140.2,1.8,891,25,30.1,299.5,7911.1,639.9
SMI_DUR,5.93,68.6,29,2,0.4,0,100,0,0,21.8,7.28,3004,13,769,171,20,136,6.4,4.9,183.3,2.2,618,21,1,302.5,5606.7,1398.7
SMI_HOL,4.02,78,10.6,1.4,0.5,9.5,90.5,1.4,6.25,14.7,6.16,2295,21,189,80,17,246,2.6,2.6,86.3,0.8,822,29,1,141.5,4205.6,341.9
SMI_HOF,2.2,80.7,11.9,1.7,0.7,5.1,94.9,0.52,6.47,10.3,6.48,1664,23,148,67,16,244,3.3,4.6,152.2,0.5,637,31,1,120.1,2958.5,268.9
SMI_JOH,3.06,77.2,19.9,2.7,0.3,0,100,0,0,16.3,7.38,2526,155,394,171,12,338,6.3,10.9,153.7,1.1,670,18,59.5,302.3,4662.1,716.3
SMI_JOH_2,3.97,81.5,14.1,4.1,0.3,0,100,0,6.66,22.2,6.97,3631,456,382,358,13,402,22,16.9,107.5,1.8,454,30,323,632.3,6845.9,693.2
WIS_COO_2,5.04,58.8,20,3,0.7,17.5,82.5,1.68,6.18,9.6,6.1,1135,126,234,113,16,237,7.7,8.4,77.3,0.5,918,23,15.8,200.2,1913.1,424.6
WIS_COO,4.17,66.1,21.5,3.6,0.7,8,92,0.92,6.37,11.5,6.56,1519,47,300,162,19,184,4.7,8.1,202,1,908,26,1.8,286.9,2672,545.2
WIS_HIG,4.72,70.2,19.7,1.5,0.4,8.1,91.9,1.24,6.29,15.3,6.27,2147,23,366,89,15,235,4.6,6,53.6,0.7,749,20,1,159,3913.1,665.3
WIS_MEG,2.74,64.8,18.9,3.2,0.9,12.2,87.8,1.24,6.29,10.2,6.28,1321,59,233,127,22,209,5.3,3.3,156.7,0.3,1026,27,1.7,224.4,2280.7,422.8
WIS_KEN,3.14,51.5,13.2,5.3,1.1,29,71,2.6,5.95,9,4.71,925,80,144,185,22,276,8,7.3,66.5,0.3,1006,32,3.4,327.6,1498.8,261.4
DEG_DIE_SWC,3.78,62.3,12.4,4.1,0.5,20.7,79.3,2.56,5.96,12.4,5.61,1544,152,186,200,15,292,3.9,21,66.6,0.3,1277,26,10.8,354.9,2721.4,337.1
DEG_YOU_BOCES,4.51,85.2,12.2,1.8,0.9,0,100,0,0,21.5,7.23,3668,147,318,152,44,241,25.6,12.7,101.9,1.5,786,30,53.3,268.6,6919,576.7
DEG_YOU_OSHEA,2.5,75.4,14.9,3.1,1,5.6,94.4,0.84,6.39,15,6.52,2267,120,272,183,35,238,4.8,6.4,53,0.8,1144,33,14.4,323.3,4150.2,494.5
DEG_YOU_JONES,4.71,74.3,15.3,1.3,1.4,7.8,92.2,1.16,6.31,14.9,6.27,2221,116,277,76,48,204,5.5,13.6,92.6,0.7,1018,31,17.1,135.7,4059.3,502.3
ZUE_REE,1.83,75.8,17.5,2.2,0.9,3.6,96.4,0.36,6.51,10.1,6.7,1534,33,214,87,21,173,1.4,1.9,116.4,0.6,716,21,1,154.5,2701.6,388.8
GAB_ALL,2.02,70.9,20,1.8,1.7,5.6,94.4,0.52,6.47,9.2,6.69,1311,25,225,65,36,145,2.3,1.8,162.4,0.4,725,20,1,115.7,2260.9,407.5
SEA_HOO,2.2,63.1,12.4,2.8,1.1,20.6,79.4,2,6.1,9.7,5.46,1229,223,146,108,25,336,3,3,115.4,0.4,1145,17,17.1,191.4,2098.8,264.9
