,id,container_number,project,number_seeds,total_scm_maggots,collection_date,record_id,seed_type,total_scm_pupae,number_wireworm,total_phorid_maggots,scm_seeds,other_seeds
114,1314,3654,R,10.0,2.0,5/12/23,STA_SWE,Bean,0,0.0,0.0,1.0,0.0
115,1276,3655,R,10.0,0.0,5/12/23,STA_SWE,Corn,0,0.0,0.0,0.0,0.0
116,1306,3666,R,10.0,0.0,5/11/23,MIL_CHA,Corn,0,0.0,0.0,0.0,0.0
117,1255,3667,R,10.0,0.0,5/11/23,MIL_MCC,Bean,0,0.0,1.0,0.0,0.0
118,1297,3668,R,10.0,1.0,5/11/23,MIL_YOD,Bean,0,0.0,0.0,1.0,6.0
119,1209,3669,R,8.0,2.0,5/9/23,ZUE_REE,Bean,1,0.0,0.0,1.0,1.0
120,1204,3670,R,10.0,0.0,5/9/23,ZUE_REE,Corn,0,0.0,0.0,0.0,0.0
121,1310,3671,R,,1.0,5/11/23,MIL_CHA,Bean,0,0.0,0.0,0.0,0.0
122,1339,3672,R,10.0,0.0,5/11/23,MIL_YOD,Corn,0,0.0,0.0,0.0,0.0
123,1336,3673,R,10.0,0.0,5/11/23,MIL_MCC,Corn,0,0.0,0.0,0.0,0.0
124,1333,3674,R,10.0,0.0,5/8/23,LET_TAB,Corn,0,1.0,0.0,0.0,0.0
125,1417,3675,R,9.0,0.0,5/8/23,LET_TAB,Bean,0,0.0,0.0,0.0,0.0
126,1330,3676,R,10.0,0.0,5/8/23,LET_NOB,Corn,0,0.0,0.0,0.0,0.0
127,1279,3677,R,0.0,0.0,5/8/23,LET_NOB,Bean,0,0.0,0.0,0.0,0.0
128,1210,3678,R,10.0,0.0,5/5/23,WIS_MEG,Corn,0,0.0,0.0,0.0,0.0
129,1201,3679,R,5.0,0.0,5/5/23,WIS_MEG,Bean,0,0.0,1.0,0.0,0.0
130,1268,3680,R,,1.0,5/5/23,WIS_KEN,Bean,2,0.0,0.0,0.0,0.0
131,1294,3681,R,10.0,0.0,5/5/23,WIS_KEN,Corn,0,0.0,0.0,0.0,0.0
132,1288,3682,R,10.0,0.0,5/3/23,WIS_COO,Corn,0,0.0,0.0,0.0,0.0
133,1286,3683,R,,1.0,5/3/23,WIS_COO,Bean,0,0.0,0.0,0.0,0.0
134,1291,3684,R,10.0,0.0,5/3/23,WIS_COO_2,Bean,0,0.0,0.0,0.0,0.0
135,1282,3685,R,10.0,0.0,5/3/23,WIS_COO_2,Corn,0,0.0,0.0,0.0,0.0
136,1303,3686,R,10.0,0.0,5/5/23,WIS_HIG,Corn,0,0.0,0.0,0.0,0.0
137,1300,3687,R,4.0,0.0,5/5/23,WIS_HIG,Bean,0,0.0,0.0,0.0,0.0
138,2608,3688,R,10.0,0.0,5/16/23,POV_DUN,Corn,0,0.0,0.0,0.0,1.0
139,2599,3689,R,9.0,0.0,5/16/23,DIP_CUR,Corn,0,0.0,0.0,0.0,0.0
140,2371,3690,R,3.0,0.0,5/16/23,DIP_CUR,Bean,0,0.0,0.0,0.0,1.0
141,2386,3691,R,7.0,4.0,5/16/23,POV_DUN,Bean,0,1.0,0.0,1.0,0.0
142,2581,3692,R,10.0,0.0,5/16/23,DIP_PAT,Bean,0,0.0,0.0,0.0,0.0
143,2338,3693,R,10.0,0.0,5/16/23,DIP_PAT,Corn,0,0.0,0.0,0.0,0.0
144,2611,3694,R,9.0,0.0,5/16/23,DIP_FLE,Corn,0,1.0,0.0,0.0,0.0
145,2305,4080,R,9.0,0.0,5/15/23,SMI_DUR,Bean,0,0.0,0.0,0.0,8.0
146,2713,4081,R,8.0,0.0,5/15/23,SMI_DUR,Corn,0,0.0,0.0,0.0,0.0
147,3025,4082,R,10.0,0.0,5/15/23,SMI_HOL,Corn,0,0.0,0.0,0.0,1.0
148,3361,4083,R,10.0,0.0,5/15/23,SMI_JOH,Corn,0,0.0,0.0,0.0,0.0
149,3364,4084,R,10.0,0.0,5/15/23,STA_HEM,Corn,0,0.0,0.0,0.0,0.0
150,2632,4085,R,9.0,0.0,5/15/23,GAB_STE,Bean,0,0.0,0.0,0.0,2.0
151,2410,4086,R,6.0,0.0,5/15/23,SMI_CAN,Bean,1,10.0,0.0,0.0,3.0
152,2317,4087,R,7.0,0.0,5/15/23,SMI_JOH,Bean,0,0.0,0.0,0.0,6.0
153,2656,4088,R,8.0,0.0,5/15/23,SMI_CRO,Corn,0,0.0,0.0,0.0,0.0
154,2980,4089,R,7.0,0.0,5/15/23,STA_WIL,Corn,0,0.0,0.0,0.0,0.0
155,2716,4090,R,10.0,0.0,5/15/23,STA_HEM_2,Corn,0,0.0,0.0,0.0,0.0
156,2995,4091,R,8.0,0.0,5/16/23,STA_COL,Corn,0,1.0,0.0,0.0,0.0
157,3076,4092,R,10.0,0.0,5/15/23,SMI_COB,Corn,0,0.0,0.0,0.0,1.0
158,2449,4093,R,11.0,0.0,5/15/23,SMI_CRO,Bean,0,0.0,0.0,0.0,1.0
159,2896,4094,R,10.0,0.0,5/15/23,STA_HEM,Bean,6,0.0,0.0,0.0,0.0
160,2320,4095,R,10.0,0.0,5/16/23,STA_COL,Bean,0,0.0,0.0,0.0,10.0
161,2458,4096,R,5.0,0.0,5/15/23,SMI_KEL,Bean,0,3.0,0.0,0.0,1.0
162,2667,4097,R,10.0,4.0,5/15/23,STA_HEM_2,Bean,3,0.0,0.0,1.0,4.0
163,2707,4098,R,4.0,0.0,5/15/23,SMI_COB,Bean,0,0.0,0.0,0.0,0.0
164,2413,4099,R,5.0,2.0,5/15/23,SMI_HOL,Bean,0,0.0,0.0,2.0,2.0
165,2950,4100,R,10.0,0.0,5/16/23,LET_NOB,Corn,0,0.0,0.0,0.0,0.0
166,2461,4101,R,7.0,0.0,5/16/23,STA_WIL,Bean,0,0.0,0.0,0.0,3.0
167,2947,4102,R,10.0,0.0,5/16/23,LET_NOB,Bean,0,0.0,0.0,0.0,2.0
168,2701,4103,R,10.0,0.0,5/15/23,SMI_CAN,Corn,0,0.0,0.0,0.0,0.0
169,2437,4104,R,8.0,0.0,5/15/23,SMI_LAT,Bean,0,0.0,0.0,0.0,3.0
170,2992,4105,R,7.0,0.0,5/15/23,SMI_MCC,Corn,0,0.0,0.0,0.0,0.0
171,2722,4106,R,8.0,0.0,5/15/23,SMI_DOU,Corn,0,0.0,0.0,0.0,0.0
172,2653,4107,R,10.0,0.0,5/15/23,SMI_JOH_2,Corn,0,0.0,0.0,0.0,0.0
173,2719,4108,R,9.0,0.0,5/15/23,SMI_KEL,Corn,0,0.0,0.0,0.0,0.0
174,2956,4109,R,8.0,0.0,5/15/23,SMI_JOH_2,Bean,9,1.0,0.0,0.0,1.0
175,2416,4110,R,10.0,0.0,5/15/23,SMI_LAT,Corn,0,0.0,0.0,0.0,1.0
176,2455,4111,R,5.0,0.0,5/15/23,SMI_DOU,Bean,0,0.0,0.0,0.0,1.0
177,2464,4112,R,5.0,0.0,5/15/23,SMI_MCC,Bean,0,1.0,0.0,0.0,3.0
178,2935,4113,R,10.0,0.0,5/15/23,SMI_HOF,Corn,0,0.0,0.0,0.0,0.0
179,2698,4114,R,10.0,0.0,5/15/23,GAB_STE,Corn,0,0.0,0.0,0.0,0.0
180,2431,4115,R,6.0,0.0,5/15/23,GAB_ALL,Corn,0,2.0,0.0,0.0,1.0
181,2999,4116,R,,4.0,5/15/23,GAB_ALL,Bean,0,0.0,0.0,0.0,0.0
182,2629,4167,R,10.0,0.0,5/17/23,SEA_HOO,Corn,0,0.0,0.0,0.0,0.0
183,2302,4168,R,8.0,0.0,5/17/23,SEA_HOO,Bean,1,0.0,0.0,0.0,3.0
184,2392,4169,R,10.0,0.0,5/19/23,DIP_CUR,Bean,0,0.0,0.0,0.0,0.0
185,2635,4170,R,10.0,0.0,5/19/23,DIP_CUR,Corn,0,0.0,0.0,0.0,0.0
186,2638,4171,R,10.0,0.0,5/23/23,DIP_FLE,Bean,0,0.0,0.0,0.0,0.0
187,2395,4172,R,10.0,0.0,5/23/23,DIP_FLE,Corn,0,0.0,0.0,0.0,0.0
