Latitude,Longitude,Site ID,SAMPLE_1
42.207278,-74.968,CER_DEL_1,12.887921333313
42.195417,-74.987639,CER_DEL_2,13.5254325866699
42.875361,-77.028139,CHO_GEN,34.1181869506836
42.606212,-76.150033,DEG_DIE,24.2841701507568
42.587209,-76.276495,DEG_FOU,20.2711811065674
42.12625,-76.433639,DEG_FRI_1,22.1114273071289
42.125556,-76.434583,DEG_FRI_2,22.1114273071289
42.651417,-76.473778,DEG_LAF_1,20.9177799224854
42.678944,-76.462611,DEG_LAF_2,28.9989280700684
42.727444,-76.252028,DEG_PER_1,26.2400550842285
42.672806,-76.222333,DEG_PER_2,23.3587627410889
42.695361,-76.171722,DEG_VIL,25.1169128417969
43.898667,-76.01525,HUN_REE,27.0084609985352
42.93389,-77.96979,KIK_HAR,26.2652778625488
42.957669,-77.948278,KIK_MBF,26.5925788879395
42.974092,-78.184051,KIK_MYT,28.6366882324219
42.853652,-77.965313,KIK_SWE,25.9923763275146
43.286472,-75.518583,KUH_COL,20.0723724365234
42.86075,-78.252917,LET_MAC,16.681432723999
43.02546,-77.882132,LET_STE_1,27.9489936828613
43.025487,-77.884436,LET_STE_2,27.9489936828613
43.214667,-78.554722,LET_VER,25.8582229614258
42.943028,-77.706028,LET_WAT,23.7383556365967
42.05,-77.137467,MIL_BAR_1,22.9256076812744
42.051944,-77.061667,MIL_BAR_2,22.1798419952393
42.4613889,-78.712222,MIL_COB,16.1669425964355
42.3616666,-79.17194,MIL_CRO_1,26.5740356445312
42.3747,-79.1458,MIL_CRO_2,37.4425888061523
42.329445,-78.716111,MIL_TEL,17.2480716705322
42.68861111,-78.80805556,MIL_ZIT_1,24.7554168701172
42.679722,-78.807222,MIL_ZIT_2,17.1988716125488
42.689111,-78.810278,MIL_ZIT_3,24.7554168701172
42.982978,-74.035696,SMI_ARN_1,24.7663059234619
42.970222,-74.025944,SMI_ARN_2,29.1857509613037
43.231444,-75.035444,SMI_BUR,13.5324840545654
42.663806,-74.515306,SMI_COB,22.656379699707
42.826389,-74.5775,SMI_CON_1,20.5460968017578
42.839331,-74.613545,SMI_CON_2,26.4285163879395
43.053024,-74.835235,SMI_DOU,24.9810810089111
42.344444,-75.713333,SMI_HOF_1,19.0401096343994
42.751,-74.570972,SMI_HOF_2,24.1472759246826
42.709361,-75.568417,SMI_LAT,19.749870300293
43.115278,-74.842194,SMI_MCC,15.2996912002563
42.892139,-77.571167,STA_BLO,35.6494483947754
42.806861,-76.816667,STA_FRE,25.8715744018555
43.049389,-77.566556,STA_KRE,50.8608856201172
42.764167,-77.735778,STA_MAC,26.3144855499268
42.728222,-77.041361,STA_MAR,27.7500915527344
43.129694,-76.779167,STA_REE_1,66.3713912963867
43.096972,-76.786833,STA_REE_2,33.8339729309082
43.123861,-78.214778,STA_STA,143.763244628906
43.064667,-76.825444,STA_WIL,24.4629726409912
43.312722,-78.365833,STA_WOO,26.2694530487061
43.019944,-78.189806,ZUE_MYT,38.4053421020508
42.625784,-77.558704,ZUE_VOT,18.6724452972412
