Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_242,VALUE_243
Y1,,,,,,"-1","0","-1",,,"69","15","0","0","146","0","3","15","3","0","0","0","0","0","8","7","0","0","0","0","0","0","84","0","3","0","28","8","1","16"
Y2,,,,,,"-1","0","-1",,,"243","13","0","2","5","0","0","10","15","0","0","0","0","2","0","0","0","2","0","0","0","0","19","0","0","0","94","1","0","0"
Y3,,,,,,"-1","0","-1",,,"87","45","14","0","2","0","0","32","6","2","0","2","0","1","0","0","0","1","5","0","0","0","122","1","3","1","80","6","0","0"
Y4,,,,,,"-1","0","-1",,,"24","81","0","0","12","0","0","2","7","0","5","4","0","1","7","0","1","0","0","0","0","0","83","0","4","0","129","48","0","2"
Y5,,,,,,"-1","0","-1",,,"39","7","3","0","8","17","0","48","23","0","0","0","1","0","0","0","0","8","35","14","1","2","7","1","5","0","174","10","0","0"
