Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
Y1,,,,,,"-1","0","-1",,,"4585","0","2239","0","2","0","0","3311","14","256","1200","96","0","7","0","0","1","5","0","18","0","35","38","2","0","0","395","188","40","4","7","1054","0","67","3","585","165","5","9","0","0","0","1","162"
Y2,,,,,,"-1","0","-1",,,"2710","1","224","2","26","3","1","88","8","5","145","200","0","0","0","2","0","6","0","9","0","0","2","6","0","710","1883","1297","288","133","18","1746","52","72","23","2852","2042","96","2","0","0","0","2","0"
Y3,,,,,,"-1","0","-1",,,"562","115","1596","14","127","11","8","262","40","126","381","224","4","9","2","1","2","13","3","18","0","8","0","10","0","2152","911","761","196","19","23","2992","376","183","39","2131","1257","45","8","3","3","30","4","3"
Y4,,,,,,"-1","0","-1",,,"1019","0","954","0","6","0","0","287","8","6","328","645","0","68","4","1","8","0","0","13","2","177","9","24","16","29","801","334","78","35","1120","2680","93","293","9","3771","1770","71","0","6","0","0","3","3"
Y5,,,,,,"-1","0","-1",,,"550","0","25","0","17","0","0","31","180","11","260","307","0","0","0","0","0","2","1","7","0","0","0","0","0","14","441","346","211","4","8","4981","1139","3096","16","1878","825","21","0","0","0","0","0","0"
