Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_36,VALUE_37,VALUE_68,VALUE_69,VALUE_122,VALUE_123,VALUE_124,VALUE_141,VALUE_176,VALUE_190
Y1,,,,,,"-1","0","-1",,,"2","2","0","0","15","5","1","2","2","0","0","0","27","5","4"
Y2,,,,,,"-1","0","-1",,,"28","6","0","1","0","2","1","0","0","0","0","0","12","13","1"
Y3,,,,,,"-1","0","-1",,,"20","11","6","0","0","12","0","0","0","0","0","0","3","11","1"
Y4,,,,,,"-1","0","-1",,,"12","6","0","0","1","0","0","0","0","0","0","0","16","9","22"
Y5,,,,,,"-1","0","-1",,,"28","0","1","0","0","9","1","0","0","1","3","1","0","18","0"
