Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_229,VALUE_242,VALUE_243
Y1,,,,,,"-1","0","-1",,,"2134","0","705","0","0","0","0","1830","2","41","329","18","0","4","0","0","0","1","6","34","23","0","0","0","206","120","27","2","7","407","0","34","3","279","64","5","0","0","1","162"
Y2,,,,,,"-1","0","-1",,,"1975","0","57","0","4","3","0","35","2","0","74","82","0","0","0","0","0","1","4","0","0","3","0","318","669","503","68","0","12","536","8","25","9","1509","591","18","2","0","2","0"
Y3,,,,,,"-1","0","-1",,,"308","67","335","4","80","5","3","179","4","77","221","133","2","1","2","0","2","7","7","0","0","6","0","555","291","322","99","16","19","1682","205","80","21","1210","531","25","6","14","2","0"
Y4,,,,,,"-1","0","-1",,,"204","0","610","0","1","0","0","86","8","3","195","459","0","39","0","1","4","0","1","155","8","13","16","13","369","181","16","8","136","1172","4","90","4","1850","865","6","0","0","3","3"
Y5,,,,,,"-1","0","-1",,,"261","0","9","0","17","0","0","29","80","3","162","92","0","0","0","0","0","2","2","0","0","0","0","5","119","158","130","1","6","1395","806","1694","8","828","562","18","0","0","0","0"
