Name,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_222,VALUE_228,VALUE_229,VALUE_236,VALUE_242,VALUE_243
POV_DUN,9,0,4,0,0,0,0,0,0,0,0,83,263,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,6,292,103,19,6,3,934,7,512,2,876,80,1,1,0,0,0,0,0,1,0
DIP_FLE,969,0,18,0,5,0,0,0,0,1,0,936,273,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,3,41,75,14,3,0,412,0,20,5,392,30,2,0,0,10,0,1,0,0,0
DIP_CUR,991,1,223,0,0,0,0,198,0,1,0,266,205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,142,60,33,18,0,444,10,51,4,462,12,6,1,0,0,82,0,0,0,0
GAB_STE,289,0,0,0,1,0,0,2,4,0,0,309,82,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,40,32,17,5,19,1199,518,262,0,393,60,5,0,0,0,0,0,0,0,0
SMI_CRO,577,0,560,0,0,0,0,89,79,111,0,40,745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,52,23,5,0,174,26,34,4,554,83,6,0,0,0,0,0,0,0,0
SMI_CAN,459,0,65,0,0,0,0,9,4,5,0,416,424,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,108,77,46,10,15,759,7,67,2,715,45,5,0,0,0,0,0,0,0,0
SMI_KEL,887,2,32,0,0,0,0,28,1,9,0,203,520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,59,7,1,0,483,163,177,2,530,41,1,0,0,0,0,0,0,0,0
SMI_COB,452,1,5,0,0,0,0,5,2,0,0,659,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222,284,248,25,2,333,15,71,6,668,93,4,0,0,0,0,0,0,0,0
SMI_DOU,82,0,157,0,0,0,0,1,1,8,0,310,981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,282,71,29,7,0,552,54,41,1,646,14,2,1,0,0,0,0,0,0,0
SMI_MCC,302,0,214,0,0,0,0,0,1,1,0,111,731,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,108,57,9,2,0,793,4,17,3,853,38,0,0,0,0,0,0,0,0,0
