Field ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_243,VALUE_244
STA_NOB,245,2,10,0,0,0,0,43,2,0,0,100,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,44,8,17,7,35,109,0,2,0,172,12,0,38,0,8,0,0,0,0,1,0,0,0,2,0,0
STA_PAN,411,14,3,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,1,1,0,39,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_SWE,257,0,56,0,0,0,0,0,0,0,0,11,0,1,0,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,56,11,3,0,2,71,0,0,0,239,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21
STA_THO,334,0,65,0,0,0,0,3,0,0,0,43,3,0,0,1,2,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,77,16,0,1,4,34,0,5,0,260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_WAT,288,0,133,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,38,1,0,0,0,246,0,5,0,45,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIS_COO,128,0,10,0,0,0,0,22,0,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,1,111,0,7,0,482,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIS_COO_2,54,0,1,0,0,0,0,20,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,34,32,6,0,1,75,14,9,0,578,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIS_KEN,1,0,3,0,1,0,0,2,23,2,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,35,96,5,9,37,0,80,70,112,49,29,11,112,48,41,5,29,13,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ZUE_REE,8,0,107,0,12,52,0,51,10,8,0,5,0,1,0,6,1,2,5,0,0,0,26,0,0,0,0,1,0,0,0,0,41,13,5,0,0,151,1,3,0,281,17,1,0,1,0,0,1,0,0,25,0,13,0,16,2,0
SMI_CAN_2,49,0,0,0,0,0,0,0,0,6,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,31,11,14,335,10,6,0,274,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_COB_3,140,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19,4,0,0,129,0,9,0,480,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_DOU_3,39,0,37,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,2,1,0,188,8,10,0,451,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_JOH,246,1,1,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,10,3,3,245,6,2,0,241,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_KEL,120,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,254,10,64,0,356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_LAT,77,0,38,0,1,0,0,0,0,0,0,97,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,6,1,1,289,5,22,0,249,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SMI_LAT_2,79,0,0,0,1,0,0,0,0,0,0,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,8,6,1,0,373,21,26,0,182,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SMI_MCC,0,0,9,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,0,0,167,5,2,0,512,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
