Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Corn_Prop
GRN_ORC,4273,4,2398,0,12,0,0,236,1,9,2602,855,0,0,16,5,0,6,0,47,133,0,670,191,12,4,26,1321,1546,796,348,28,2801,18,309,18,5470,1610,30,25,0,0,2,2,0,0,4,25828,11374,0.440374787,4814,0.186386867,5470,0.211785659,4039,0.156380672,0,0,0.165905219
GRS_ORC,3105,7,3338,0,12,0,0,602,3,13,2094,741,8,0,14,4,0,6,0,44,149,1,685,183,14,3,26,1210,1387,1014,615,41,2810,22,282,15,4724,2487,138,22,0,0,2,2,0,0,4,25827,10907,0.422309986,5795,0.224377589,4724,0.182909358,4267,0.165214698,0,0,0.120687652
GRS_FIE,3010,7,3248,0,12,0,0,583,3,13,2166,787,1,0,14,4,0,6,0,44,149,1,685,191,15,6,26,1234,1400,987,596,41,2845,22,275,15,4892,2389,131,22,0,0,2,2,0,0,4,25828,10826,0.419157503,5718,0.221387641,4892,0.189406845,4258,0.164859842,0,0,0.117004801
PAT_FIE,8889,4,2616,0,57,0,0,375,4,0,5670,737,2,0,7,0,0,0,0,2,303,0,1,6,0,0,4,438,661,278,101,16,3186,12,44,16,1820,457,31,0,0,0,115,1,0,2,0,25855,18488,0.715064784,3762,0.145503771,1820,0.070392574,1494,0.057783794,0,0,0.346006575
CUR_FIE,5850,2,488,0,4,2,0,12,1,13,1340,2557,0,0,2,0,0,0,0,10,21,0,0,1,2,2,7,1156,528,160,121,13,5939,127,1753,30,4931,328,52,7,0,0,0,0,0,5,0,25464,10298,0.404414075,8242,0.323672636,4931,0.193645932,1978,0.077678291,0,0,0.229893183
FLE_FIE,5712,1,366,3,67,2,1,261,0,12,4508,2791,0,0,38,0,0,0,0,23,12,0,1,7,0,0,4,681,994,170,17,10,5409,222,841,37,2897,504,9,6,0,0,0,0,0,0,0,25606,13799,0.538897133,7032,0.274623135,2897,0.113137546,1872,0.073107865,0,0,0.225689292
FLE_FOR,5866,1,491,3,67,2,1,307,0,25,4748,2874,0,0,4,0,0,0,0,30,8,0,1,7,0,0,4,633,974,173,16,10,4945,243,887,41,2778,446,10,7,0,0,0,0,0,0,0,25602,14434,0.563784079,6582,0.25708929,2778,0.108507148,1806,0.070541364,0,0,0.231739708
DUN_FIE,166,2,19,18,3,0,0,12,1,1,700,1711,0,0,0,0,0,0,0,25,13,0,2,3,1,2,143,2156,739,167,42,223,7032,410,4896,49,6311,513,57,4,0,0,0,0,0,5,1,25427,2676,0.105242459,13180,0.518346639,6311,0.248200732,3327,0.130845165,0,0,0.006646478
DUN_FOR,159,2,17,18,1,0,0,12,1,1,684,1673,0,0,0,0,0,0,0,25,13,0,2,3,1,2,143,2145,733,165,42,222,7245,426,4787,50,6251,526,71,4,0,0,0,0,0,5,1,25430,2611,0.102674007,13327,0.524066064,6251,0.245812033,3307,0.130043256,0,0,0.006291781
KIR_FIE,2419,5,2001,0,83,0,0,78,0,3,2278,197,3,49,39,2,3,3,5,3,51,0,692,15,10,1,27,639,467,93,13,13,8448,2,407,7,2990,4072,69,29,1,877,0,6,0,5,40,26145,8847,0.3383821,13018,0.497915471,2990,0.114362211,1225,0.046854083,0,0,0.095697074
KIR_FOR,2409,5,1997,0,122,0,0,54,0,3,2235,195,3,85,39,2,3,4,6,3,45,0,644,14,10,1,27,644,470,89,13,13,8404,2,409,7,3026,4089,69,31,1,926,0,6,0,5,40,26150,8843,0.338164436,12993,0.496864245,3026,0.115717017,1229,0.046998088,0,0,0.096787763
KIR_ORC,2382,5,1949,0,128,0,0,54,0,3,2219,194,3,99,39,2,3,5,7,3,45,0,614,14,10,1,27,642,475,89,13,13,8511,2,409,7,3020,4102,69,31,1,906,0,6,0,5,40,26147,8723,0.333613799,13113,0.50151069,3020,0.115500822,1232,0.047118216,0,0,0.095995717
IND_ORC_1,1063,0,1459,0,27,4,87,22,0,0,492,1572,64,0,5,2,0,0,0,25,2,0,0,8,2,2,1153,1558,1126,381,88,14,7062,169,2284,48,6265,447,60,1,0,0,0,0,1,0,2,25495,4838,0.189762699,10084,0.395528535,6265,0.245734458,3167,0.124220435,0,0,0.042753481
IND_ORC_2,1108,0,1530,0,27,3,50,33,0,0,559,1743,64,0,5,2,0,0,0,21,2,0,0,8,2,2,334,1630,1144,366,80,14,7040,175,2174,46,6802,459,59,8,0,0,0,1,1,0,2,25494,5169,0.202753589,9967,0.390954734,6802,0.266807876,3234,0.126853377,0,0,0.044520279
EVE_ORC,284,10,194,0,1,0,0,2,0,40,201,634,1,0,2,0,0,0,0,16,78,0,1,0,0,3,15,1471,675,226,38,7,10987,324,5562,30,4096,301,68,0,0,0,0,0,0,0,0,25267,1389,0.05497289,17279,0.683856414,4096,0.162108679,2417,0.095658369,0,0,0.011279535
EVE_FOR,251,10,166,0,1,0,0,2,0,32,176,623,1,0,2,0,0,0,0,16,60,0,1,0,0,3,12,1372,582,200,37,3,11578,332,5556,25,3873,287,66,0,0,0,0,0,0,0,0,25267,1284,0.050817272,17847,0.706336328,3873,0.153282938,2194,0.086832628,0,0,0.009973483
EVE_FIE,280,10,166,0,1,0,0,2,0,26,179,608,1,0,2,0,0,0,0,14,51,0,1,0,0,3,12,1386,610,210,38,0,11593,317,5568,23,3806,293,66,0,0,0,0,0,0,0,0,25266,1293,0.051175493,17860,0.706878809,3806,0.15063722,2244,0.088815008,0,0,0.011121665
OLE_FIE,978,0,227,0,0,0,0,33,0,3,2672,2064,0,3,2,0,0,0,0,54,71,0,3,9,15,1,32,978,401,153,40,6,6197,147,930,7,5936,4862,26,12,1,0,0,0,0,0,0,25863,6077,0.234968874,12175,0.47074972,5936,0.229517071,1578,0.061013804,0,0,0.037814639
