Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_229,VALUE_242,VALUE_243
Y1,,,,,,"-1","0","-1",,,"437","0","101","0","0","0","605","0","7","30","4","0","0","0","0","0","31","8","0","0","0","6","0","0","0","0","199","0","23","0","63","29","0","0","1","65"
Y2,,,,,,"-1","0","-1",,,"915","0","34","0","0","2","7","0","0","20","22","0","0","0","0","2","0","0","0","0","0","87","37","2","0","4","164","1","9","2","287","30","0","0","0","0"
Y3,,,,,,"-1","0","-1",,,"193","18","105","2","21","2","38","0","1","79","42","2","1","2","5","5","0","0","0","0","0","57","78","34","8","12","425","40","10","5","374","63","0","6","1","0"
Y4,,,,,,"-1","0","-1",,,"59","0","165","0","1","0","30","0","0","29","148","0","12","4","0","1","76","8","4","4","0","23","8","0","0","9","233","0","17","0","668","127","0","0","0","2"
Y5,,,,,,"-1","0","-1",,,"87","0","7","0","3","0","9","45","0","85","42","0","0","0","2","2","0","0","0","0","1","23","71","33","1","4","179","129","226","3","519","122","6","0","0","0"
