Field ID,ph
POV_DUN,5.781182766
DIP_FLE,6.317162514
DIP_CUR,5.927192211
GAB_STE,5.358693123
SMI_CRO,6.335429668
SMI_CAN,5.585507393
SMI_KEL,6.507095337
SMI_COB,5.930618286
SMI_DOU,6.29728651
SMI_MCC,6.356281281
SMI_HOL,6.415804386
DIP_PAT,6.454941273
MIL_YOD,6.349746704
MIL_CHA,6.120146751
MIL_MCC,6.210189819
KAT_SAU,5.537230015
KAT_SAU_2,5.722351551
KAT_TEE,5.959934235
KAT_TEE_2,5.739637852
KAT_HAB_2,5.955316067
KAT_HAB,5.957181454
KAT_BAR,5.867260933
SMI_LAT,5.557508469
SMI_DUR,6.667976379
SMI_HOF,5.903712749
SMI_JOH,6.416008472
SMI_JOH_2,6.468092918
GAB_ALL,5.886958599
KAT_JEF,5.586032867
KAT_JEF_2,6.26295042
STA_WIL,6.444833279
STA_HEM_2,6.685321331
STA_HEM,6.554670334
STA_SWE,6.38201952
STA_COL,6.560458183
WIS_COO_2,5.979127407
WIS_COO,5.968518734
LET_NOB,6.663196564
LET_TAB,6.075114727
WIS_HIG,5.566951752
WIS_MEG,5.365185261
WIS_KEN,5.452927113
ZUE_REE,6.537268639
DEG_PER_STRIP,5.993263245
DEG_FOU_WOOD,5.715062618
DEG_DIE_HILL,6.117238522
DEG_DIE_SWC,6.143694878
DEG_YOU_BOCES,6.506287098
DEG_YOU_OSHEA,5.277257442
DEG_YOU_JONES,6.899239063
DEG_VIL,6.654009819
SEA_HOO,6.488575935
MIL_HUM,6.682992458
ONE_TER,6.709459305
ONE_ADO,6.463492393
ONE_STA,6.000911713
