Field ID,Date Collected,N.SCM.M.1,N.SCM.F.1,N.SCM.M.2,N.SCM.F.2,N.D.Florilega.1,N.D.Florilega.2
DEG_FOU_WOOD,4/15/24,,,,,,
DEG_FOU_WOOD,4/22/24,20,19,6,8,0,0
DEG_FOU_WOOD,4/22/24,,,,,,
DEG_FOU_WOOD,4/29/24,16,5,31,9,0,0
DEG_FOU_WOOD,4/29/24,,,,,,
DEG_FOU_WOOD,5/6/24,16,18,34,26,1,2
DEG_FOU_WOOD,5/6/24,,,,,,
DEG_PER_2,5/13/24,21,8,3,0,0,0
DEG_PER_2,5/13/24,,,,,,
DEG_PER_2,5/20/24,4,3,8,5,2,0
DEG_PER_2,5/20/24,,,,,,
DEG_PER_2,5/28/24,,,,,,
DEG_PER_2,5/28/24,67,40,54,64,18,2
DEG_PER_2,6/3/24,44,38,45,32,3,2
DEG_PER_2,6/3/24,,,,,,
DEG_PER_2,6/10/24,201,124,100,85,104,46
DEG_PER_2,6/10/24,,,,,,
DEG_PER_2,6/17/24,165,191,126,154,10,8
DEG_PER_2,6/17/24,,,,,,
DEG_PER_2,6/24/24,,,,,,
DEG_PER_2,6/24/24,15,11,3,3,4,1
DEG_PER_2,7/1/24,,,,,,
DEG_PER_2,7/1/24,20,19,43,34,17,21
DEG_PER_2,7/8/24,,,,,,
DEG_PER_2,7/8/24,,,,,,
DEG_PER_2,7/15/24,,,,,,
DEG_PER_2,7/15/24,12,30,11,24,10,23
DEG_PER_2,7/22/24,,,,,,
DEG_PER_2,7/22/24,7,17,7,54,3,52
DEG_PER_2,7/29/24,,,,,,
DEG_PER_2,7/29/24,4,10,19,25,0,8
DEG_PER_2,8/5/24,,,,,,
DEG_PER_2,8/5/24,,,,,,
DEG_PER_2,8/12/24,10,17,1,11,4,2
DEG_PER_2,8/12/24,,,,,,
DEG_PER_2,8/19/24,,,,,,
DEG_PER_2,8/19/24,,,,,,
DEG_PER_2,8/26/24,1,12,0,2,3,2
DEG_PER_2,8/26/24,,,,,,
DEG_PER_2,9/3/24,0,1,0,1,0,0
DEG_PER_2,9/3/24,,,,,,
DEG_PER_2,9/9/24,2,4,0,0,0,0
DEG_PER_2,9/9/24,,,,,,
DEG_PER_2,9/17/24,0,0,0,0,0,0
DEG_PER_2,9/17/24,,,,,,
DEG_PER_2,9/23/24,2,0,0,0,0,0
