Field ID,Soil Texture
DEG_DIE_HILL,5
DEG_FOU_WOOD,5
DEG_PER_STRIP,5
DEG_VIL,5
DIP_CUR,4
DIP_FLE,5
DIP_PAT,5
GAB_ALL,5
GAB_HEN,5
GAB_STE,5
HUN_PLE_9,9
KAT_HAB_3,5
KAT_HAB_4,5
KAT_JEF,5
KAT_JEF_2,5
KAT_MAH,3
KAT_SAU,5
KAT_SAU_3,5
KAT_TEE,5
KAT_TEE_3,5
POV_DUN,4
SEA_HOO,4
STA_AYR,3
STA_BRA,5
STA_FRE,5
STA_HEM,4
STA_MAC,4
STA_NOB,4
STA_PAN,5
STA_SWE,5
STA_THO,3
STA_WAT,5
WIS_COO,5
WIS_COO_2,5
WIS_KEN,4
ZUE_REE,4
SMI_CAN_2,5
SMI_COB_3,5
SMI_DOU_3,5
SMI_JOH,5
SMI_KEL,5
SMI_LAT,5
SMI_LAT_2,5
SMI_MCC,5
