,card_id,field_id,date_collected,total_scm,scm_male,scm_female,florilega,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,total_flies,week,year
2348,2224.0,MIL_MCC,2023-04-10,40.0,22.0,18.0,0.0,439.0,240.0,199.0,0.09111617312072894,0.09045226130653267,0.09166666666666666,0.09111617312072894,40.0,15,2023
2342,2070.0,GAB_ALL,2023-04-10,141.0,36.0,105.0,0.0,1143.0,822.0,321.0,0.12335958005249344,0.32710280373831774,0.043795620437956206,0.12335958005249344,141.0,15,2023
2344,2220.0,MIL_YOD,2023-04-10,293.0,145.0,148.0,0.0,501.0,299.0,202.0,0.5848303393213573,0.7326732673267327,0.48494983277591974,0.5848303393213573,293.0,15,2023
2346,2222.0,MIL_CHA,2023-04-10,137.0,67.0,70.0,0.0,277.0,157.0,120.0,0.49458483754512633,0.5833333333333334,0.4267515923566879,0.49458483754512633,137.0,15,2023
2334,2048.0,KAT_SAU_2,2023-04-10,58.0,10.0,48.0,0.0,302.0,107.0,195.0,0.19205298013245034,0.24615384615384617,0.09345794392523364,0.19205298013245034,58.0,15,2023
2314,2028.0,POV_DUN,2023-04-11,15.0,12.0,3.0,0.0,275.0,185.0,90.0,0.05454545454545454,0.03333333333333333,0.06486486486486487,0.6145454545454545,15.0,15,2023
2316,2030.0,DIP_PAT,2023-04-11,101.0,44.0,57.0,0.0,1602.0,817.0,785.0,0.06304619225967541,0.07261146496815286,0.05385556915544676,0.06304619225967541,101.0,15,2023
2320,2034.0,DIP_FLE,2023-04-11,329.0,159.0,170.0,0.0,1556.0,780.0,776.0,0.21143958868894602,0.2190721649484536,0.20384615384615384,0.282133676092545,329.0,15,2023
2318,2032.0,DIP_CUR,2023-04-11,172.0,26.0,146.0,0.0,1308.0,655.0,653.0,0.13149847094801223,0.22358346094946402,0.03969465648854962,0.1536697247706422,172.0,15,2023
2292,2100.0,SMI_CRO,2023-04-12,139.0,78.0,61.0,0.0,188.0,105.0,83.0,0.7393617021276596,0.7349397590361446,0.7428571428571429,0.7393617021276596,139.0,15,2023
2282,2054.0,STA_HEM,2023-04-12,72.0,49.0,23.0,0.0,1309.0,715.0,594.0,0.05500381970970206,0.03872053872053872,0.06853146853146853,0.05500381970970206,72.0,15,2023
2284,2056.0,STA_HEM_2,2023-04-12,73.0,45.0,28.0,0.0,891.0,516.0,375.0,0.0819304152637486,0.07466666666666667,0.0872093023255814,0.0819304152637486,73.0,15,2023
2286,2058.0,STA_WIL,2023-04-12,26.0,22.0,4.0,1.0,281.0,230.0,51.0,0.09252669039145907,0.0784313725490196,0.09565217391304348,0.09252669039145907,27.0,15,2023
2288,2060.0,STA_SWE,2023-04-12,2.0,2.0,0.0,0.0,366.0,297.0,69.0,0.00546448087431694,0.0,0.006734006734006734,0.00546448087431694,2.0,15,2023
2290,2062.0,STA_COL,2023-04-12,4.0,2.0,2.0,0.0,720.0,532.0,188.0,0.005555555555555556,0.010638297872340425,0.0037593984962406013,0.005555555555555556,4.0,15,2023
2294,2102.0,SMI_CAN,2023-04-12,75.0,33.0,42.0,0.0,657.0,260.0,397.0,0.1141552511415525,0.10579345088161209,0.12692307692307692,0.1141552511415525,75.0,15,2023
2300,2108.0,SMI_DOU,2023-04-12,32.0,14.0,18.0,0.0,114.0,52.0,62.0,0.2807017543859649,0.2903225806451613,0.2692307692307692,0.2807017543859649,32.0,15,2023
2298,2106.0,SMI_COB,2023-04-12,75.0,51.0,24.0,0.0,245.0,187.0,58.0,0.30612244897959184,0.41379310344827586,0.2727272727272727,0.30612244897959184,75.0,15,2023
2312,2188.0,WIS_COO_2,2023-04-12,1.0,1.0,0.0,0.0,295.0,206.0,89.0,0.003389830508474576,0.0,0.0048543689320388345,0.003389830508474576,1.0,15,2023
2302,2112.0,SMI_MCC,2023-04-12,38.0,17.0,21.0,0.0,264.0,138.0,126.0,0.14393939393939395,0.16666666666666666,0.12318840579710146,0.14393939393939395,38.0,15,2023
2304,2116.0,SMI_HOL,2023-04-12,123.0,63.0,60.0,0.0,352.0,226.0,126.0,0.3494318181818182,0.47619047619047616,0.27876106194690264,0.3494318181818182,123.0,15,2023
2305,2118.0,SMI_JOH,2023-04-12,115.0,64.0,51.0,0.0,497.0,258.0,239.0,0.23138832997987926,0.21338912133891214,0.24806201550387597,0.23138832997987926,115.0,15,2023
2307,2120.0,SMI_JOH_2,2023-04-12,74.0,34.0,40.0,0.0,302.0,184.0,118.0,0.24503311258278146,0.3389830508474576,0.18478260869565216,0.24503311258278146,74.0,15,2023
2310,2186.0,WIS_COO,2023-04-12,25.0,16.0,9.0,0.0,1367.0,880.0,487.0,0.018288222384784197,0.018480492813141684,0.01818181818181818,0.018288222384784197,25.0,15,2023
2296,2104.0,SMI_KEL,2023-04-12,58.0,30.0,28.0,0.0,328.0,147.0,181.0,0.17682926829268292,0.15469613259668508,0.20408163265306123,0.17682926829268292,58.0,15,2023
2280,2117.0,SMI_HOF,2023-04-13,168.0,88.0,80.0,0.0,444.0,244.0,200.0,0.3783783783783784,0.4,0.36065573770491804,0.3783783783783784,168.0,15,2023
2279,2114.0,SMI_DUR,2023-04-13,278.0,104.0,174.0,0.0,1550.0,602.0,948.0,0.17935483870967742,0.18354430379746836,0.17275747508305647,0.17935483870967742,278.0,15,2023
2277,2110.0,SMI_LAT,2023-04-13,67.0,25.0,42.0,0.0,521.0,197.0,324.0,0.12859884836852206,0.12962962962962962,0.12690355329949238,0.12859884836852206,67.0,15,2023
2271,2190.0,WIS_KEN,2023-04-14,29.0,23.0,6.0,1.0,448.0,296.0,152.0,0.06473214285714286,0.039473684210526314,0.0777027027027027,0.06473214285714286,30.0,15,2023
2273,2192.0,WIS_HIG,2023-04-14,1.0,0.0,1.0,0.0,160.0,98.0,62.0,0.00625,0.016129032258064516,0.0,0.00625,1.0,15,2023
2275,2194.0,WIS_MEG,2023-04-14,36.0,3.0,33.0,0.0,251.0,124.0,127.0,0.14342629482071714,0.25984251968503935,0.024193548387096774,0.14342629482071714,36.0,15,2023
2231,2068.0,GAB_STE,2023-04-17,5.0,2.0,3.0,0.0,729.0,414.0,315.0,0.006858710562414266,0.009523809523809525,0.004830917874396135,0.1673525377229081,5.0,16,2023
2233,2072.0,GAB_ALL,2023-04-17,7.0,4.0,3.0,0.0,1143.0,822.0,321.0,0.006124234470691163,0.009345794392523364,0.004866180048661801,0.1294838145231846,7.0,16,2023
2235,2082.0,KAT_HAB,2023-04-17,3.0,1.0,2.0,0.0,242.0,139.0,103.0,0.012396694214876033,0.019417475728155338,0.007194244604316547,0.06198347107438017,3.0,16,2023
2237,2084.0,KAT_HAB_2,2023-04-17,25.0,9.0,16.0,0.0,516.0,324.0,192.0,0.04844961240310078,0.08333333333333333,0.027777777777777776,0.11434108527131784,25.0,16,2023
2239,2086.0,KAT_JEF,2023-04-17,0.0,0.0,0.0,0.0,109.0,62.0,47.0,0.0,0.0,0.0,0.01834862385321101,0.0,16,2023
2241,2088.0,KAT_JEF_2,2023-04-17,2.0,0.0,2.0,0.0,109.0,60.0,49.0,0.01834862385321101,0.04081632653061224,0.0,0.05504587155963303,2.0,16,2023
2243,2090.0,KAT_BAR,2023-04-17,0.0,0.0,0.0,0.0,769.0,226.0,543.0,0.0,0.0,0.0,0.036410923276983094,0.0,16,2023
2245,2092.0,KAT_SAU,2023-04-17,13.0,8.0,5.0,0.0,273.0,142.0,131.0,0.047619047619047616,0.03816793893129771,0.056338028169014086,0.4981684981684982,13.0,16,2023
2247,2094.0,KAT_SAU_2,2023-04-17,25.0,21.0,4.0,0.0,302.0,107.0,195.0,0.08278145695364239,0.020512820512820513,0.19626168224299065,0.27483443708609273,25.0,16,2023
2256,2126.0,SMI_KEL,2023-04-17,0.0,0.0,0.0,0.0,328.0,147.0,181.0,0.0,0.0,0.0,0.17682926829268292,0.0,16,2023
2251,2098.0,KAT_TEE_2,2023-04-17,1.0,1.0,0.0,0.0,445.0,211.0,234.0,0.0022471910112359553,0.0,0.004739336492890996,0.0044943820224719105,1.0,16,2023
2252,2122.0,SMI_CRO,2023-04-17,0.0,0.0,0.0,0.0,188.0,105.0,83.0,0.0,0.0,0.0,0.7393617021276596,0.0,16,2023
2254,2124.0,SMI_CAN,2023-04-17,23.0,9.0,14.0,0.0,657.0,260.0,397.0,0.0350076103500761,0.03526448362720403,0.03461538461538462,0.1491628614916286,23.0,16,2023
2258,2128.0,SMI_COB,2023-04-17,15.0,13.0,2.0,0.0,245.0,187.0,58.0,0.061224489795918366,0.034482758620689655,0.06951871657754011,0.3673469387755102,15.0,16,2023
2260,2130.0,SMI_DOU,2023-04-17,0.0,0.0,0.0,0.0,114.0,52.0,62.0,0.0,0.0,0.0,0.2807017543859649,0.0,16,2023
2262,2134.0,SMI_MCC,2023-04-17,13.0,11.0,2.0,0.0,264.0,138.0,126.0,0.04924242424242424,0.015873015873015872,0.07971014492753623,0.19318181818181818,13.0,16,2023
2264,2138.0,SMI_HOL,2023-04-17,5.0,3.0,2.0,0.0,352.0,226.0,126.0,0.014204545454545454,0.015873015873015872,0.01327433628318584,0.36363636363636365,5.0,16,2023
2267,2156.0,LET_NOB,2023-04-17,9.0,2.0,7.0,0.0,977.0,669.0,308.0,0.009211873080859774,0.022727272727272728,0.0029895366218236174,0.009211873080859774,9.0,16,2023
2269,2158.0,LET_TAB,2023-04-17,26.0,7.0,19.0,0.0,465.0,281.0,184.0,0.05591397849462366,0.10326086956521739,0.02491103202846975,0.05591397849462366,26.0,16,2023
2249,2096.0,KAT_TEE,2023-04-17,5.0,0.0,5.0,0.0,173.0,78.0,95.0,0.028901734104046242,0.05263157894736842,0.0,0.057803468208092484,5.0,16,2023
2215,2132.0,SMI_LAT,2023-04-18,17.0,9.0,8.0,0.0,521.0,197.0,324.0,0.03262955854126679,0.024691358024691357,0.04568527918781726,0.16122840690978885,17.0,16,2023
2210,2076.0,DIP_FLE,2023-04-18,88.0,64.0,24.0,0.0,1556.0,780.0,776.0,0.056555269922879174,0.030927835051546393,0.08205128205128205,0.33868894601542415,88.0,16,2023
2212,2078.0,DIP_CUR,2023-04-18,60.0,25.0,35.0,0.0,1308.0,655.0,653.0,0.045871559633027525,0.05359877488514548,0.03816793893129771,0.19954128440366972,60.0,16,2023
2214,2080.0,POV_DUN,2023-04-18,2.0,2.0,0.0,0.0,275.0,185.0,90.0,0.007272727272727273,0.0,0.010810810810810811,0.6218181818181818,2.0,16,2023
2217,2136.0,SMI_DUR,2023-04-18,63.0,22.0,41.0,0.0,1550.0,602.0,948.0,0.04064516129032258,0.043248945147679324,0.036544850498338874,0.22,63.0,16,2023
2208,2074.0,DIP_PAT,2023-04-18,72.0,44.0,28.0,0.0,1602.0,817.0,785.0,0.0449438202247191,0.035668789808917196,0.05385556915544676,0.10799001248439451,72.0,16,2023
2221,2142.0,SMI_JOH_2,2023-04-18,88.0,63.0,25.0,0.0,302.0,184.0,118.0,0.2913907284768212,0.211864406779661,0.3423913043478261,0.5364238410596026,88.0,16,2023
2223,2144.0,SMI_JOH,2023-04-18,20.0,18.0,2.0,0.0,497.0,258.0,239.0,0.04024144869215292,0.008368200836820083,0.06976744186046512,0.2716297786720322,20.0,16,2023
2225,2226.0,MIL_YOD,2023-04-18,26.0,20.0,6.0,0.0,501.0,299.0,202.0,0.05189620758483034,0.0297029702970297,0.06688963210702341,0.6367265469061877,26.0,16,2023
2227,2228.0,MIL_CHA,2023-04-18,7.0,1.0,6.0,0.0,277.0,157.0,120.0,0.02527075812274368,0.05,0.006369426751592357,0.51985559566787,7.0,16,2023
2229,2230.0,MIL_MCC,2023-04-18,20.0,15.0,5.0,0.0,439.0,240.0,199.0,0.04555808656036447,0.02512562814070352,0.0625,0.1366742596810934,20.0,16,2023
2219,2140.0,SMI_HOF,2023-04-18,8.0,5.0,3.0,2.0,444.0,244.0,200.0,0.018018018018018018,0.015,0.020491803278688523,0.3963963963963964,10.0,16,2023
2206,2270.0,ZUE_REE,2023-04-19,8.0,5.0,3.0,0.0,2497.0,1359.0,1138.0,0.0032038446135362435,0.0026362038664323375,0.003679175864606328,0.0032038446135362435,8.0,16,2023
2204,2198.0,WIS_COO_2,2023-04-19,0.0,0.0,0.0,0.0,295.0,206.0,89.0,0.0,0.0,0.0,0.003389830508474576,0.0,16,2023
2202,2196.0,WIS_COO,2023-04-19,1.0,1.0,0.0,0.0,1367.0,880.0,487.0,0.000731528895391368,0.0,0.0011363636363636363,0.019019751280175565,1.0,16,2023
2186,2146.0,STA_COL,2023-04-20,6.0,3.0,3.0,0.0,720.0,532.0,188.0,0.008333333333333333,0.015957446808510637,0.005639097744360902,0.013888888888888888,6.0,16,2023
2188,2148.0,STA_SWE,2023-04-20,3.0,2.0,1.0,0.0,366.0,297.0,69.0,0.00819672131147541,0.014492753623188406,0.006734006734006734,0.013661202185792351,3.0,16,2023
2190,2150.0,STA_HEM,2023-04-20,7.0,3.0,4.0,0.0,1309.0,715.0,594.0,0.0053475935828877,0.006734006734006734,0.004195804195804196,0.060351413292589765,7.0,16,2023
2198,2240.0,DEG_PER_STRIP,2023-04-20,15.0,8.0,7.0,0.0,190.0,106.0,84.0,0.07894736842105263,0.08333333333333333,0.07547169811320754,0.07894736842105263,15.0,16,2023
2193,2153.0,STA_HEM_2,2023-04-20,32.0,15.0,17.0,0.0,891.0,516.0,375.0,0.03591470258136925,0.04533333333333334,0.029069767441860465,0.11784511784511785,32.0,16,2023
2196,2238.0,DEG_YOU_JONES,2023-04-20,27.0,3.0,24.0,1.0,1097.0,521.0,576.0,0.024612579762989972,0.041666666666666664,0.005758157389635317,0.024612579762989972,28.0,16,2023
2200,2242.0,DEG_VIL,2023-04-20,19.0,3.0,16.0,0.0,836.0,460.0,376.0,0.022727272727272728,0.0425531914893617,0.006521739130434782,0.022727272727272728,19.0,16,2023
2192,2152.0,STA_WIL,2023-04-20,30.0,23.0,7.0,3.0,281.0,230.0,51.0,0.10676156583629894,0.13725490196078433,0.1,0.199288256227758,33.0,16,2023
2172,2204.0,WIS_KEN,2023-04-21,12.0,8.0,4.0,0.0,448.0,296.0,152.0,0.026785714285714284,0.02631578947368421,0.02702702702702703,0.09151785714285715,12.0,16,2023
2170,2202.0,WIS_HIG,2023-04-21,2.0,2.0,0.0,0.0,160.0,98.0,62.0,0.0125,0.0,0.02040816326530612,0.018750000000000003,2.0,16,2023
2174,2244.0,DEG_DIE_SWC,2023-04-21,38.0,9.0,29.0,0.0,223.0,110.0,113.0,0.17040358744394618,0.25663716814159293,0.08181818181818182,0.17040358744394618,38.0,16,2023
2168,2200.0,WIS_MEG,2023-04-21,15.0,10.0,5.0,0.0,251.0,124.0,127.0,0.05976095617529881,0.03937007874015748,0.08064516129032258,0.20318725099601595,15.0,16,2023
2178,2248.0,DEG_YOU_BOCES,2023-04-21,150.0,17.0,133.0,2.0,639.0,344.0,295.0,0.2347417840375587,0.45084745762711864,0.04941860465116279,0.2347417840375587,152.0,16,2023
2180,2250.0,DEG_YOU_OSHEA,2023-04-21,21.0,6.0,15.0,0.0,610.0,262.0,348.0,0.03442622950819672,0.04310344827586207,0.022900763358778626,0.03442622950819672,21.0,16,2023
2182,2252.0,DEG_FOU_WOOD,2023-04-21,59.0,28.0,31.0,1.0,436.0,235.0,201.0,0.1353211009174312,0.15422885572139303,0.11914893617021277,0.1353211009174312,60.0,16,2023
2184,2294.0,SEA_HOO,2023-04-21,39.0,11.0,28.0,0.0,2273.0,1338.0,935.0,0.01715794104707435,0.029946524064171122,0.008221225710014948,0.01715794104707435,39.0,16,2023
2176,2246.0,DEG_DIE_HILL,2023-04-21,38.0,23.0,15.0,0.0,1157.0,731.0,426.0,0.032843560933448576,0.035211267605633804,0.03146374829001368,0.032843560933448576,38.0,16,2023
2132,2164.0,KAT_JEF,2023-04-24,1.0,1.0,0.0,0.0,109.0,62.0,47.0,0.009174311926605505,0.0,0.016129032258064516,0.027522935779816515,1.0,17,2023
2134,2166.0,KAT_JEF_2,2023-04-24,0.0,0.0,0.0,0.0,109.0,60.0,49.0,0.0,0.0,0.0,0.05504587155963303,0.0,17,2023
2136,2168.0,KAT_BAR,2023-04-24,120.0,49.0,71.0,0.0,769.0,226.0,543.0,0.15604681404421328,0.13075506445672191,0.2168141592920354,0.19245773732119636,120.0,17,2023
2138,2170.0,KAT_SAU,2023-04-24,46.0,23.0,23.0,1.0,273.0,142.0,131.0,0.1684981684981685,0.17557251908396945,0.1619718309859155,0.6666666666666667,47.0,17,2023
2140,2172.0,KAT_SAU_2,2023-04-24,41.0,14.0,27.0,1.0,302.0,107.0,195.0,0.1357615894039735,0.13846153846153847,0.1308411214953271,0.4105960264900662,42.0,17,2023
2142,2174.0,KAT_TEE,2023-04-24,44.0,6.0,38.0,3.0,173.0,78.0,95.0,0.2543352601156069,0.4,0.07692307692307693,0.3121387283236994,47.0,17,2023
2144,2176.0,KAT_TEE_2,2023-04-24,20.0,8.0,12.0,0.0,445.0,211.0,234.0,0.0449438202247191,0.05128205128205128,0.037914691943127965,0.04943820224719101,20.0,17,2023
2146,2206.0,LET_TAB,2023-04-24,93.0,49.0,44.0,0.0,465.0,281.0,184.0,0.2,0.2391304347826087,0.17437722419928825,0.25591397849462366,93.0,17,2023
2148,2208.0,LET_NOB,2023-04-24,29.0,16.0,13.0,0.0,977.0,669.0,308.0,0.02968270214943705,0.04220779220779221,0.02391629297458894,0.038894575230296824,29.0,17,2023
2152,2302.0,GAB_STE,2023-04-24,14.0,8.0,6.0,0.0,729.0,414.0,315.0,0.019204389574759947,0.01904761904761905,0.01932367149758454,0.18655692729766804,14.0,17,2023
2154,2480.0,SMI_DOU,2023-04-24,13.0,6.0,7.0,0.0,114.0,52.0,62.0,0.11403508771929824,0.11290322580645161,0.11538461538461539,0.39473684210526316,13.0,17,2023
2156,2486.0,SMI_CAN,2023-04-24,87.0,19.0,68.0,0.0,657.0,260.0,397.0,0.1324200913242009,0.1712846347607053,0.07307692307692308,0.2815829528158295,87.0,17,2023
2158,2492.0,SMI_CRO,2023-04-24,13.0,8.0,5.0,0.0,188.0,105.0,83.0,0.06914893617021277,0.060240963855421686,0.0761904761904762,0.8085106382978724,13.0,17,2023
2160,2498.0,SMI_MCC,2023-04-24,8.0,4.0,4.0,0.0,264.0,138.0,126.0,0.030303030303030304,0.031746031746031744,0.028985507246376812,0.2234848484848485,8.0,17,2023
2162,2504.0,SMI_KEL,2023-04-24,1.0,0.0,1.0,0.0,328.0,147.0,181.0,0.003048780487804878,0.0055248618784530384,0.0,0.1798780487804878,1.0,17,2023
2164,2510.0,SMI_COB,2023-04-24,46.0,32.0,14.0,0.0,245.0,187.0,58.0,0.18775510204081633,0.2413793103448276,0.1711229946524064,0.5551020408163265,46.0,17,2023
2166,2516.0,SMI_HOL,2023-04-24,12.0,9.0,3.0,0.0,352.0,226.0,126.0,0.03409090909090909,0.023809523809523808,0.03982300884955752,0.3977272727272727,12.0,17,2023
2150,2300.0,GAB_ALL,2023-04-24,41.0,28.0,13.0,0.0,1143.0,822.0,321.0,0.03587051618547681,0.040498442367601244,0.0340632603406326,0.1653543307086614,41.0,17,2023
2110,2160.0,KAT_HAB,2023-04-25,7.0,6.0,1.0,0.0,242.0,139.0,103.0,0.028925619834710745,0.009708737864077669,0.04316546762589928,0.09090909090909091,7.0,17,2023
2112,2162.0,KAT_HAB_2,2023-04-25,80.0,64.0,16.0,0.0,516.0,324.0,192.0,0.15503875968992248,0.08333333333333333,0.19753086419753085,0.26937984496124034,80.0,17,2023
2114,2178.0,DIP_PAT,2023-04-25,67.0,14.0,53.0,0.0,1602.0,817.0,785.0,0.041822721598002495,0.06751592356687898,0.017135862913096694,0.149812734082397,67.0,17,2023
2116,2180.0,DIP_FLE,2023-04-25,70.0,43.0,27.0,2.0,1556.0,780.0,776.0,0.04498714652956298,0.03479381443298969,0.05512820512820513,0.38367609254498714,72.0,17,2023
2118,2182.0,DIP_CUR,2023-04-25,25.0,10.0,15.0,1.0,1308.0,655.0,653.0,0.0191131498470948,0.022970903522205207,0.015267175572519083,0.21865443425076453,26.0,17,2023
2124,2528.0,SMI_LAT,2023-04-25,22.0,8.0,14.0,0.0,521.0,197.0,324.0,0.04222648752399232,0.043209876543209874,0.04060913705583756,0.20345489443378117,22.0,17,2023
2122,2522.0,SMI_HOF,2023-04-25,28.0,19.0,9.0,0.0,444.0,244.0,200.0,0.06306306306306306,0.045,0.0778688524590164,0.4594594594594595,28.0,17,2023
2126,2534.0,SMI_DUR,2023-04-25,342.0,92.0,250.0,1.0,1550.0,602.0,948.0,0.22064516129032258,0.26371308016877637,0.15282392026578073,0.4406451612903226,343.0,17,2023
2128,2540.0,SMI_JOH,2023-04-25,21.0,16.0,5.0,0.0,497.0,258.0,239.0,0.04225352112676056,0.02092050209205021,0.06201550387596899,0.31388329979879276,21.0,17,2023
2130,2546.0,SMI_JOH_2,2023-04-25,10.0,5.0,5.0,0.0,302.0,184.0,118.0,0.033112582781456956,0.0423728813559322,0.02717391304347826,0.5695364238410596,10.0,17,2023
2120,2184.0,POV_DUN,2023-04-25,11.0,6.0,5.0,0.0,275.0,185.0,90.0,0.04,0.05555555555555555,0.032432432432432434,0.6618181818181819,11.0,17,2023
2108,2272.0,ZUE_REE,2023-04-26,133.0,65.0,68.0,0.0,2497.0,1359.0,1138.0,0.05326391670004005,0.05975395430579965,0.047829286239882265,0.056467761313576295,133.0,17,2023
2106,2218.0,STA_HEM_2,2023-04-26,95.0,25.0,70.0,0.0,891.0,516.0,375.0,0.10662177328843996,0.18666666666666668,0.04844961240310078,0.2244668911335578,95.0,17,2023
2104,2216.0,STA_SWE,2023-04-26,24.0,23.0,1.0,0.0,366.0,297.0,69.0,0.06557377049180328,0.014492753623188406,0.07744107744107744,0.07923497267759563,24.0,17,2023
2102,2214.0,STA_WIL,2023-04-26,37.0,29.0,8.0,0.0,281.0,230.0,51.0,0.13167259786476868,0.1568627450980392,0.12608695652173912,0.3309608540925267,37.0,17,2023
2100,2212.0,STA_HEM,2023-04-26,74.0,42.0,32.0,0.0,1309.0,715.0,594.0,0.05653170359052712,0.05387205387205387,0.05874125874125874,0.1168831168831169,74.0,17,2023
