Latitude,Longitude,Site ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_24,VALUE_25,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_228,VALUE_229,VALUE_241,VALUE_242,VALUE_243
42.860750000000003,-78.252916999999997,LET_MAC,"1234","8","31","0","2","0","0","0","0","0","11","0","0","415","3","1","6","16","11","10","5","0","6","0","0","0","17","0","0","3","0","0","0","0","165","188","93","21","68","355","5","10","6","541","18","6","0","2","0","0","0","11","0","0","195","1","0","0","0"
43.025460000000002,-77.882131999999999,LET_STE_1,"616","24","837","0","16","0","0","305","0","2","0","0","0","413","3","0","5","22","103","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","49","199","77","0","3","127","2","2","3","343","221","15","3","0","0","0","0","0","14","0","1","3","0","0","8"
43.025486999999998,-77.884435999999994,LET_STE_2,"648","30","701","0","15","0","0","305","0","2","0","0","0","522","3","0","4","18","99","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","55","198","74","0","4","111","5","3","9","401","158","15","3","0","0","0","0","0","24","0","1","2","0","0","8"
43.214666999999999,-78.554721999999998,LET_VER,"1078","0","129","0","63","0","0","0","0","0","0","0","0","550","68","1","5","14","0","7","3","7","0","0","0","0","38","0","1","25","27","0","1","0","103","120","42","8","2","510","14","31","9","517","73","10","0","2","3","0","0","2","0","0","0","2","0","0","2"
42.943027999999998,-77.706028000000003,LET_WAT,"536","2","11","0","2","0","1","268","0","4","0","0","0","929","0","0","0","8","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","92","191","35","4","9","278","2","7","5","766","17","4","19","0","0","0","0","0","0","0","248","0","0","0","1"
42.049999999999997,-77.137467000000001,MIL_BAR_1,"129","0","400","0","0","0","0","13","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","116","233","199","143","1","45","700","89","492","3","741","72","90","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.051943999999999,-77.061667000000000,MIL_BAR_2,"0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","49","184","68","5","6","19","647","97","442","9","1885","19","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.461388900000003,-78.712221999999997,MIL_COB,"256","0","167","1","0","0","0","1","0","0","42","0","0","82","63","0","0","0","11","0","0","0","0","0","0","0","105","0","0","0","7","5","0","11","73","128","13","0","112","790","245","727","3","593","13","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.361666600000000,-79.171940000000006,MIL_CRO_1,"803","0","181","0","0","0","0","237","0","4","0","0","0","1","415","0","0","55","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","1","100","43","4","0","3","673","101","236","4","510","19","3","0","0","0","0","0","0","3","0","4","0","0","0","0"
42.374699999999997,-79.145799999999994,MIL_CRO_2,"635","0","14","0","1","0","0","0","0","6","0","0","0","1","346","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","173","54","3","0","0","1183","21","219","3","681","108","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
