longitude,latitude,site,state_province,crop,pest,date,count
-76.65627,42.73441,Cayuga,NY,Field Corn,WBC,6/14/11,0.0
-76.655755,42.823362,Cayuga_2,NY,Field Corn,WBC,6/13/21,0
-76.654991,42.732757,Aurora_Cayuga,NY,Field Corn,WBC,6/7/15,0.0
-76.654991,42.732757,Cayuga,NY,Field Corn,WBC,6/4/17,0.0
-76.652836,42.732891,Cayuga_5,NY,Field Corn,WBC,6/19/22,0.0
-76.650109,42.716934,Aurora_Cayuga,NY,Field Corn,WBC,6/10/12,0.0
-76.619,43.082,Cayuga_4,NY,Field Corn,WBC,6/19/22,1.0
-76.606527,42.942259,Cayuga_3,NY,Field Corn,WBC,6/13/21,30
-76.565556,43.154444,Cato_Cayuga,NY,Field Corn,WBC,6/14/20,0.0
-76.565,43.155,Cayuga_1,NY,Field Corn,WBC,6/19/22,1.0
-76.55431,42.07571,Elmira_Chemung,NY,Field Corn,WBC,6/14/11,0.0
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/5/16,0.0
-76.536062,43.002916,Auburn_Seneca,NY,Field Corn,WBC,6/4/17,1.0
-76.526944,42.721667,Venice_Cayuga,NY,Field Corn,WBC,6/14/20,0.0
-76.52162075,49.948868,FranklinSt_Cayuga,NY,Field Corn,WBC,6/10/12,0.0
-76.50931,42.31332,Burdett_Schuyler_2,NY,Field Corn,WBC,6/14/11,0.0
-76.49527,42.25421,Burdett_Schuyler_1,NY,Field Corn,WBC,6/14/11,0.0
-76.4811,42.9149,Auburn_Cayuga,NY,Field Corn,WBC,6/2/13,0
-76.478409,42.913786,Auburn_Cayuga,NY,Field Corn,WBC,6/14/11,0.0
-76.477251,44.93424,Bombay _Franklin,NY,Field Corn,WBC,6/3/19,1
-76.457793,42.466419,Varna_Tompkins,NY,Field Corn,WBC,6/4/17,0.0
-76.448958,42.858838,Onondaga,NY,Field Corn,WBC,6/13/21,0
-76.44506,42.901598,Auburn_Cayuga,NY,Field Corn,WBC,6/22/14,0.0
-76.443,42.864,Onondaga,NY,Field Corn,WBC,6/19/22,0.0
-76.372814,42.46125,Varna_Tompkins,NY,Field Corn,WBC,6/5/16,0.0
-76.372741,42.4609,Ithaca_Tompkins,NY,Field Corn,WBC,6/7/15,0.0
-76.3644363,43.0505591,Memphis_Onondaga,NY,Field Corn,WBC,6/3/18,0.0
-76.31843,44.13099,Clayton_Jefferson,NY,Field Corn,WBC,6/3/18,0.0
-76.245,42.6246166,Homer_Cortland,NY,Field Corn,WBC,6/2/13,8
-76.2373,42.70516,Homer_Cortland,NY,Field Corn,WBC,6/14/20,0.0
-76.23631,42.70539,Homer_Cortland,NY,Field Corn,WBC,6/3/18,0.0
-76.23478,42.70564,Scott_Cortland,NY,Field Corn,WBC,6/4/17,0.0
-76.23398333,42.70523333,Homer_Cortland,NY,Field Corn,WBC,6/22/14,0.0
-76.233867,43.502344,Chapman_Oswego,NY,Field Corn,WBC,6/14/11,0.0
-76.23143,42.7000389,Cortland_1,NY,Field Corn,WBC,6/13/21,0
-76.22367,42.27666,Ithaca_Tompkins,NY,Field Corn,WBC,6/14/11,0.0
-76.220106,44.159923,Clayton_Jefferson,NY,Field Corn,WBC,6/5/16,0.0
-76.220088,44.159941,Clayton_Jefferson,NY,Field Corn,WBC,6/4/17,0.0
-76.171456,43.776984,Jefferson_6,NY,Field Corn,WBC,6/13/21,0
-76.1714,43.7767,Ellisburg_Jefferson,NY,Field Corn,WBC,6/3/18,0.0
-76.14336053,43.75812555,Jefferson_1,NY,Field Corn,WBC,6/19/22,19.0
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/3/18,0.0
-76.14312,43.758165,Ellisburg_Jefferson,NY,Field Corn,WBC,6/4/17,0.0
-76.143042,43.758003,Ellisburg_Jefferson,NY,Field Corn,WBC,6/22/14,0.0
-76.142967,43.758133,Ellisburg_Jefferson,NY,Field Corn,WBC,6/10/12,0.0
-76.14296667,43.75813333,Ellisburg_Jefferson,NY,Field Corn,WBC,6/2/13,31
-76.126216,42.762655,Cortland_2,NY,Field Corn,WBC,6/13/21,0
-76.124967,42.762417,Preble_Cortland,NY,Field Corn,WBC,6/14/20,0.0
-76.120869,42.771977,Cortland,NY,Field Corn,WBC,6/14/11,0.0
-76.120133,42.790016,Aurora_Cayuga,NY,Field Corn,WBC,6/2/13,0
-76.118262,42.791013,Tully_Onondaga,NY,Field Corn,WBC,6/7/15,0.0
-76.118262,42.791013,Onondaga,NY,Field Corn,WBC,6/4/17,0.0
-76.116724,42.783445,Tully_Onondaga,NY,Field Corn,WBC,6/10/12,0.0
-76.1136,42.06481,Owego_Tioga,NY,Field Corn,WBC,6/14/11,0.0
-76.0906,42.57202,Cortland_Cortland,NY,Field Corn,WBC,6/14/20,0.0
