,record_id,week,count,date,max_temp_f,min_temp_f,ave_temp_f,rain_inches,max_temp_c,min_temp_c,ave_temp_c
0,DEG_DIE_100,17,100.0,2022-04-20,45.57142857142857,30.142857142857142,37.857142857142854,0.21285714285714286,7.542857142857143,-1.0285714285714285,3.2714285714285714
1,DEG_DIE_ERSWC,17,80.0,2022-04-20,44.714285714285715,29.714285714285715,37.214285714285715,0.29714285714285715,7.057142857142857,-1.2571428571428573,2.914285714285714
2,DEG_DIE_SH,17,64.0,2022-04-20,44.285714285714285,29.142857142857142,36.714285714285715,0.31,6.814285714285715,-1.5857142857142859,2.6285714285714286
3,DEG_EVA_PGREEN,17,7.0,2022-04-20,45.0,29.714285714285715,37.357142857142854,0.25,7.228571428571429,-1.2571428571428573,2.9857142857142853
4,DEG_FES_OVO4,17,25.0,2022-04-20,48.285714285714285,32.0,40.142857142857146,0.18142857142857144,9.042857142857143,6.344131569286608e-17,4.514285714285714
5,DEG_FOU_ELM,17,362.0,2022-04-20,46.0,30.857142857142858,38.42857142857143,0.20142857142857146,7.771428571428572,-0.6285714285714287,3.5714285714285716
7,DEG_MCM_CH,17,53.0,2022-04-20,45.857142857142854,30.714285714285715,38.285714285714285,0.27714285714285714,7.7,-0.7142857142857143,3.4857142857142853
8,DEG_MCM_W7,17,86.0,2022-04-20,44.857142857142854,30.0,37.42857142857143,0.26142857142857145,7.1571428571428575,-1.1142857142857143,3.0285714285714285
9,DEG_STR_1,17,48.0,2022-04-20,43.285714285714285,29.428571428571427,36.357142857142854,0.32285714285714284,6.271428571428572,-1.4142857142857144,2.414285714285714
11,GAB_ALL,17,29.0,2022-04-20,54.42857142857143,30.571428571428573,42.5,0.23714285714285713,12.471428571428572,-0.7857142857142857,5.828571428571428
14,GAB_HER,17,13.0,2022-04-20,53.57142857142857,30.428571428571427,42.0,0.24571428571428572,11.957142857142857,-0.8571428571428571,5.542857142857143
15,GAB_JON,17,24.0,2022-04-20,53.714285714285715,32.857142857142854,43.285714285714285,0.20857142857142857,12.057142857142859,0.47142857142857153,6.271428571428571
16,GAB_KUK,17,39.0,2022-04-20,54.57142857142857,32.0,43.285714285714285,0.30428571428571427,12.557142857142859,0.0,6.271428571428571
17,GAB_OOM,17,125.0,2022-04-20,54.57142857142857,30.714285714285715,42.642857142857146,0.21428571428571427,12.542857142857143,-0.7000000000000001,5.914285714285714
20,GAB_STO,17,48.0,2022-04-20,55.0,32.142857142857146,43.57142857142857,0.25999999999999995,12.799999999999999,0.0714285714285715,6.414285714285714
22,MIL_CHA,17,39.0,2022-04-20,47.857142857142854,29.714285714285715,38.785714285714285,0.2642857142857143,8.814285714285715,-1.2857142857142858,3.757142857142857
23,MIL_MCC,17,59.0,2022-04-20,48.857142857142854,31.857142857142858,40.357142857142854,0.16142857142857145,9.357142857142858,-0.07142857142857138,4.628571428571428
24,MIL_YOD,17,86.0,2022-04-20,46.57142857142857,29.714285714285715,38.142857142857146,0.24142857142857146,8.1,-1.2714285714285716,3.414285714285714
25,MUL_LET,17,38.0,2022-04-20,49.42857142857143,31.714285714285715,40.57142857142857,0.055714285714285716,9.671428571428573,-0.142857142857143,4.757142857142857
35,POV_DUN,17,8.0,2022-04-20,46.0,29.714285714285715,37.857142857142854,0.18857142857142858,7.785714285714286,-1.2714285714285716,3.242857142857143
49,STA_LOT,17,43.0,2022-04-20,49.857142857142854,32.57142857142857,41.214285714285715,0.0842857142857143,9.914285714285715,0.31428571428571433,5.1000000000000005
50,STA_PAD,17,55.0,2022-04-20,49.285714285714285,33.42857142857143,41.357142857142854,0.06571428571428571,9.6,0.7999999999999999,5.185714285714285
57,ZUE_PED,17,53.0,2022-04-20,47.57142857142857,33.0,40.285714285714285,0.06714285714285714,8.642857142857142,0.5714285714285714,4.6000000000000005
58,ZUE_REE,17,27.0,2022-04-20,48.857142857142854,33.0,40.92857142857143,0.06857142857142857,9.37142857142857,0.5428571428571429,4.957142857142857
59,DEG_DIE_100,18,26.0,2022-04-27,56.42857142857143,36.714285714285715,46.57142857142857,0.01,13.585714285714285,2.642857142857143,8.1
60,DEG_DIE_ERSWC,18,1.0,2022-04-27,55.142857142857146,36.0,45.57142857142857,0.02,12.857142857142858,2.2142857142857144,7.542857142857144
61,DEG_DIE_SH,18,144.0,2022-04-27,54.57142857142857,35.857142857142854,45.214285714285715,0.022857142857142857,12.542857142857143,2.1428571428571432,7.357142857142857
62,DEG_EVA_PGREEN,18,7.0,2022-04-27,55.857142857142854,36.285714285714285,46.07142857142857,0.018571428571428572,13.257142857142856,2.385714285714286,7.828571428571428
63,DEG_FES_OVO4,18,61.0,2022-04-27,58.0,37.714285714285715,47.857142857142854,0.014285714285714287,14.442857142857141,3.1571428571428575,8.785714285714286
64,DEG_FOU_ELM,18,476.0,2022-04-27,56.857142857142854,36.57142857142857,46.714285714285715,0.011428571428571429,13.799999999999999,2.557142857142857,8.171428571428573
66,DEG_MCM_CH,18,68.0,2022-04-27,56.57142857142857,36.57142857142857,46.57142857142857,0.02428571428571429,13.657142857142857,2.557142857142857,8.114285714285714
67,DEG_MCM_W7,18,188.0,2022-04-27,55.0,36.285714285714285,45.642857142857146,0.018571428571428572,12.771428571428572,2.357142857142857,7.585714285714286
68,DEG_STR_1,18,34.0,2022-04-27,54.285714285714285,34.285714285714285,44.285714285714285,0.02,12.385714285714286,1.2571428571428573,6.8428571428571425
70,GAB_ALL,18,28.0,2022-04-27,59.714285714285715,38.42857142857143,49.07142857142857,0.04285714285714286,15.385714285714286,3.585714285714286,9.485714285714286
71,GAB_DEL,18,19.0,2022-04-27,59.142857142857146,38.142857142857146,48.642857142857146,0.04285714285714286,15.085714285714285,3.414285714285714,9.242857142857144
72,GAB_ELL,18,18.0,2022-04-27,60.0,38.714285714285715,49.357142857142854,0.047142857142857146,15.585714285714285,3.728571428571428,9.642857142857142
73,GAB_HER,18,7.0,2022-04-27,59.0,37.857142857142854,48.42857142857143,0.06142857142857143,14.985714285714286,3.257142857142857,9.128571428571428
74,GAB_JON,18,4.0,2022-04-27,58.142857142857146,39.57142857142857,48.857142857142854,0.054285714285714284,14.528571428571428,4.2,9.357142857142858
75,GAB_KUK,18,87.0,2022-04-27,59.142857142857146,38.857142857142854,49.0,0.04428571428571428,15.085714285714285,3.814285714285714,9.457142857142857
76,GAB_OOM,18,58.0,2022-04-27,59.714285714285715,37.714285714285715,48.714285714285715,0.05714285714285715,15.414285714285715,3.1714285714285713,9.299999999999999
77,GAB_PET,18,8.0,2022-04-27,60.714285714285715,37.57142857142857,49.142857142857146,0.025714285714285714,15.957142857142857,3.1,9.514285714285714
79,GAB_STO,18,44.0,2022-04-27,59.42857142857143,39.42857142857143,49.42857142857143,0.05714285714285715,15.228571428571428,4.114285714285715,9.685714285714285
80,GORHAM,18,24.0,2022-04-27,57.714285714285715,38.0,47.857142857142854,0.07142857142857142,14.271428571428572,3.3285714285714287,8.828571428571427
81,MIL_CHA,18,16.0,2022-04-27,57.42857142857143,35.285714285714285,46.357142857142854,0.024285714285714282,14.12857142857143,1.8142857142857143,7.971428571428571
82,MIL_MCC,18,33.0,2022-04-27,58.57142857142857,37.142857142857146,47.857142857142854,0.008571428571428572,14.771428571428572,2.8428571428571425,8.8
83,MIL_YOD,18,27.0,2022-04-27,56.42857142857143,34.714285714285715,45.57142857142857,0.012857142857142857,13.585714285714285,1.5000000000000002,7.542857142857143
