,Unnamed: 0.1,Unnamed: 0,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
31,31,31,STA_HEM_2,841,0,91,0,3,1,0,66,0,6,0,751,33,1,21,3,2,0,5,9,0,31,0,5,12,1,0,0,7,103,73,54,17,94,260,1,44,0,440,234,15,2,1,0,0,0,1,0,7,13064.0,1829,648,440,341,7
32,32,32,STA_HEM,927,0,346,0,0,0,0,18,0,0,0,403,66,0,0,0,0,0,0,1,0,2,0,0,67,10,1,0,25,170,46,14,2,0,420,1,44,1,494,169,11,0,0,0,0,0,0,0,0,13080.0,1773,646,494,232,25
33,33,33,STA_SWE,859,1,63,0,2,1,1,76,0,4,0,604,111,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,8,174,50,5,0,2,550,2,25,6,443,215,19,4,0,6,0,0,0,0,0,13076.0,1625,819,443,231,8
34,34,34,STA_COL,826,0,172,0,56,0,0,214,0,0,0,443,48,0,50,6,0,0,0,0,0,3,0,4,1,4,0,0,4,110,117,63,0,2,388,0,36,1,581,88,2,1,0,21,3,0,0,0,10,13152.0,1811,517,581,292,4
35,35,35,WIS_COO_2,275,0,92,0,0,0,0,0,0,0,0,94,131,0,0,0,0,0,0,0,0,51,0,3,0,0,0,0,21,62,144,42,4,7,1096,24,53,3,517,542,16,0,0,0,0,0,0,0,0,12848.0,464,1741,517,259,21
36,36,36,WIS_COO,692,0,74,0,0,0,15,42,0,0,0,283,151,0,0,0,0,0,0,0,0,22,0,8,0,0,1,0,14,68,29,4,0,0,733,5,50,3,939,50,4,0,0,0,0,0,0,0,0,12892.0,1115,845,939,101,14
37,37,37,LET_NOB,1433,0,47,0,10,0,0,81,0,4,0,786,27,0,26,3,0,0,0,0,0,2,0,1,2,0,0,0,2,90,31,14,10,1,418,0,13,0,189,44,0,0,0,0,0,0,0,0,0,13084.0,2393,476,189,146,2
38,38,38,LET_TAB,866,0,37,0,15,0,0,8,0,9,0,1047,27,0,22,1,0,0,46,0,0,0,0,0,0,1,0,0,4,153,13,9,7,6,605,5,89,0,201,14,0,1,0,0,39,0,0,0,0,13052.0,2092,719,201,188,4
39,39,39,WIS_HIG,5,0,1,0,0,0,0,0,1,4,0,4,9,0,0,0,0,0,0,0,1,18,3,154,0,0,0,0,8,195,256,220,101,5,1491,1,20,2,524,147,9,0,0,0,0,0,0,0,0,12872.0,173,1675,524,777,8
40,40,40,WIS_MEG,146,0,2,0,117,8,2,9,37,0,0,55,122,0,0,1,0,0,3,0,0,3,0,13,0,0,1,0,45,266,445,190,28,8,712,3,27,5,834,109,0,0,0,0,0,0,0,0,0,12924.0,394,864,834,937,45
41,41,41,WIS_KEN,1,0,2,0,0,1,0,0,1,0,0,3,5,0,0,1,0,0,0,0,0,5,4,109,0,0,4,0,796,285,344,270,84,3,768,3,19,6,339,84,35,0,0,0,0,0,0,0,0,12852.0,126,918,339,986,796
42,42,42,ZUE_REE,416,0,464,0,3,0,0,491,2,68,0,121,66,0,4,0,0,0,0,0,0,3,0,2,25,0,0,0,483,80,88,22,1,2,384,2,38,0,386,45,11,0,0,0,0,0,0,0,19,13072.0,1615,482,386,193,483
43,43,43,DEG_PER_STRIP,711,1,125,0,0,0,0,173,6,4,0,300,199,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,61,8,2,0,867,44,108,2,437,19,0,0,0,0,0,0,0,0,0,13064.0,1322,1040,437,225,0
44,44,44,DEG_FOU_WOOD,991,0,7,0,0,0,0,2,0,1,0,329,470,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,166,76,6,0,0,445,28,83,1,559,53,5,0,0,0,0,0,0,1,0,13080.0,1334,615,559,248,0
45,45,45,DEG_DIE_HILL,464,0,16,1,2,0,0,37,13,10,0,378,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,181,375,191,49,12,345,40,99,3,729,39,11,0,0,0,0,0,0,6,0,13068.0,927,549,729,808,28
46,46,46,DEG_DIE_SWC,741,0,175,0,42,1,0,4,0,1,0,47,156,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,214,72,13,2,1,700,23,84,4,816,110,10,0,0,0,0,0,0,0,0,13072.0,1015,932,816,302,2
47,47,47,DEG_YOU_BOCES,382,1,14,0,0,0,0,1,1,2,0,69,142,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,258,417,140,26,2,534,29,101,4,965,127,4,0,0,0,0,0,0,0,0,13100.0,473,801,965,843,6
48,48,48,DEG_YOU_OSHEA,567,0,519,0,0,0,0,1,0,0,0,257,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,202,262,82,2,0,792,20,118,5,189,59,14,0,0,0,0,1,0,0,0,13096.0,1345,1008,189,548,33
49,49,49,DEG_YOU_JONES,815,0,23,0,3,1,0,3,0,5,0,265,372,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,43,136,199,34,3,5,537,16,46,5,650,55,3,0,0,0,0,0,0,1,1,13100.0,1121,667,650,377,43
50,50,50,DEG_VIL,1000,0,46,0,4,1,0,2,0,54,0,292,226,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,101,133,193,51,1,1,513,4,31,11,452,103,6,0,0,0,1,0,0,0,0,13132.0,1405,669,452,379,101
51,51,51,SEA_HOO,704,0,578,0,2,3,0,618,2,3,0,440,40,0,7,1,0,0,0,27,6,4,0,0,22,0,0,0,2,150,36,15,3,0,250,2,36,1,139,72,4,40,0,0,7,0,0,0,2,13068.0,2462,365,139,204,2
52,52,52,MIL_HUM,955,0,499,0,0,0,0,98,93,8,0,313,87,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,61,36,14,0,541,4,16,0,291,36,1,0,0,0,0,0,0,0,0,13196.0,2059,598,291,210,2
53,53,53,ONE_TER,612,0,7,0,0,0,0,0,0,0,0,406,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,316,355,312,100,1,305,47,4,0,585,153,11,0,0,0,0,0,0,0,0,13516.0,1025,521,585,1084,41
54,54,54,ONE_ADO,611,0,6,0,0,1,0,0,0,0,0,128,361,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,136,5,6,0,1,1423,97,15,5,300,234,3,0,0,0,0,0,0,0,0,13556.0,748,1778,300,148,0
55,55,55,ONE_STA,1719,4,2,0,0,0,0,1,2,12,0,84,48,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,195,90,47,58,13,576,8,20,0,242,189,2,0,0,0,0,0,0,0,0,13560.0,1846,808,242,403,1
