"","site","total_corn","corn","prop_corn","total_land"
"1","Accord",495,495,0.0370647697491576,13355
"2","Adams_Center",67,67,0.00484909893609322,13817
"3","Afton",648,648,0.0481748568879637,13451
"4","Athens",123,123,0.00913547237076649,13464
"5","Amsterdam",38,38,0.00278858149262494,13627
"6","Attica",733,733,0.0539764359351988,13580
"7","Avoca",648,648,0.0480498294527658,13486
"8","Avon",3150,3150,0.231600617601647,13601
"9","Baldwinsville",1366,1366,0.100029291154071,13656
"10","Batavia",2161,2161,0.158570589961843,13628
"11","Belfast",420,420,0.0311688311688312,13475
"12","Bellona",2262,2262,0.166715801886792,13568
"13","Brockport",753,753,0.0550559333187102,13677
"14","Carlton",2188,2188,0.159824689554419,13690
"15","Clifton_Park",83,83,0.0061074319352465,13590
"16","Collins",1482,1482,0.109696521095485,13510
"17","Eagle_Bridge",334,334,0.0245516024698618,13604
"18","Eden",2001,2001,0.147642588356821,13553
"19","Farmersville",1105,1105,0.081833666592609,13503
"20","Farmington",779,779,0.0572373254959589,13610
"21","Feura_Bush",412,412,0.030471119000074,13521
"22","Flint",1201,1201,0.0883348043542218,13596
"23","Florida",720,720,0.054257724189902,13270
"24","Fort_Plain",824,824,0.0605748731897376,13603
"25","Geneva",1303,1303,0.0960418662932115,13567
"26","Great_Valley",1394,1394,0.103627713351175,13452
"27","Greenwich",898,898,0.0658357771260997,13640
"28","Groveland",4120,4120,0.304261132855771,13541
"29","Hall",2955,2955,0.217615435599087,13579
"30","Hamlin",1981,1981,0.14460909555442,13699
"31","Hurley",277,277,0.0206994470183829,13382
"32","Interlaken",2043,2043,0.150875120005908,13541
"33","Kennedy",1011,1011,0.0752176177367755,13441
"34","Kinderhook",375,375,0.0277880696554279,13495
"35","King_Ferry",2572,2572,0.189857533033144,13547
"36","Kirkville",439,439,0.0321729571271528,13645
"37","LeRoy",2659,2659,0.195342344989715,13612
"38","Lockport",1393,1393,0.10195418282954,13663
"39","Lyndonville",2370,2370,0.172980074447121,13701
"40","Medina",1622,1622,0.11853259280912,13684
"41","Melrose",1155,1155,0.0849827091457582,13591
"42","New_Paltz",369,369,0.0276487337029822,13346
"43","Newark_Valley",475,475,0.0352871257707451,13461
"44","Olean",287,287,0.0213859910581222,13420
"45","Oswego",100,100,0.00728332119446468,13730
"46","Owego",613,613,0.0456576791300462,13426
"47","Panama",192,192,0.0143166057713817,13411
"48","Pavilion",3071,3071,0.226124733082984,13581
"49","Penn_Yan",1960,1960,0.144756277695716,13540
"50","Peru",785,785,0.056139598083387,13983
"51","Pike",3363,3363,0.24850365772556,13533
"52","Plattsburgh",630,630,0.0449293966623877,14022
"53","Plessis",253,253,0.0181857389304198,13912
"54","Portville",162,162,0.0120742341805173,13417
"55","Potter",958,958,0.0706854570943703,13553
"56","Preble",1754,1754,0.129265236937136,13569
"57","Ransomville",1740,1740,0.127360562143171,13662
"58","Rush",791,791,0.0581190301249082,13610
"59","Salem",732,732,0.0535871156661786,13660
"60","Savannah",1594,1594,0.116990825688073,13625
"61","Schaghticoke",742,742,0.0545829042224511,13594
"62","Schoharie",742,742,0.0545829042224511,13594
"63","Seneca_Castle",1690,1690,0.124255569443423,13601
"64","Seneca_Falls",1690,1690,0.124255569443423,13601
"65","Sharon_Springs",48,48,0.00353930098805486,13562
"66","Sherwood",3230,3230,0.23798997936929,13572
"67","South_Colton",45,45,0.00322303394929093,13962
"68","Spencer",338,338,0.0251133070807638,13459
"69","Spencerport",616,616,0.0451116807030392,13655
"70","Stone_Ridge",419,419,0.0313341310200419,13372
"71","Ticonderoga",478,478,0.0345925604284267,13818
"72","Tivoli",1137,1137,0.0847685081637218,13413
"73","Unadilla",474,474,0.035173642030276,13476
"74","Waterport",844,844,0.0616373329438399,13693
"75","Williamson",1037,1037,0.0758595464520849,13670
