"","site","total_corn","corn","sweet_corn","prop_corn","prop_field_corn","prop_sweet_corn","total_land"
"1","Accord",1613,1313,300,0.0202870115332855,0.0165138537775598,0.00377315775572577,79509
"2","Adams_Center",11862,11862,0,0.144238135191333,0.144238135191333,0,82239
"3","Afton",3462,3462,0,0.0432339277686198,0.0432339277686198,0,80076
"4","Athens",1659,1639,20,0.0206973987898447,0.0204478822281829,0.00024951656166178,80155
"5","Amsterdam",1514,1510,4,0.0186692315280655,0.0186199072703956,4.93242576699221e-05,81096
"6","Attica",9524,9508,16,0.117846492693369,0.117648514545207,0.000197978148161897,80817
"7","Avoca",6443,6439,4,0.0802426084140783,0.0801927914912696,4.98169228086781e-05,80294
"8","Avon",22244,22231,13,0.274715638932457,0.274555087623964,0.000160551308493164,80971
"9","Baldwinsville",12827,12550,277,0.157785322410018,0.15437793687111,0.00340738553890816,81294
"10","Batavia",15042,14596,446,0.185518185518186,0.180017513350847,0.00550067216733883,81081
"11","Belfast",3227,3227,0,0.0402394164224702,0.0402394164224702,0,80195
"12","Bellona",22232,21104,1128,0.275363216369199,0.261391926873676,0.0139712894955225,80737
"13","Brockport",7733,7155,578,0.0950035013575439,0.087902502549234,0.00710099880830989,81397
"14","Carlton",15797,15191,606,0.193844870111543,0.186408648595585,0.00743622151595843,81493
"15","Clifton_Park",1867,1858,9,0.0230838660220824,0.0229725886818581,0.000111277340224286,80879
"16","Collins",8573,8570,3,0.106590906265153,0.10655360628629,3.72999788633453e-05,80429
"17","Eagle_Bridge",7865,7854,11,0.0970831841803167,0.0969474035031415,0.000135780677175268,81013
"18","Eden",8338,8255,83,0.103373461114073,0.102344437694492,0.0010290234195812,80659
"19","Farmersville",4603,4602,1,0.0572975664405303,0.0572851185660049,1.24478745254248e-05,80335
"20","Farmington",13180,13161,19,0.162651791884688,0.162417316615658,0.000234475269029519,81032
"21","Feura_Bush",2994,2988,6,0.037195318905757,0.0371207791885109,7.45397172460059e-05,80494
"22","Flint",24427,24383,44,0.30183247043705,0.301288783995848,0.000543686441201547,80929
"23","Florida",2875,2612,263,0.0364131467291495,0.0330821353935786,0.0033310113355709,78955
"24","Fort_Plain",15953,15952,1,0.196967639178694,0.196955292432679,1.23467460150877e-05,80993
"25","Geneva",10404,10382,22,0.128783096290245,0.128510775248493,0.000272321041751767,80787
"26","Great_Valley",2984,2982,2,0.0372753051103644,0.037250321661899,2.49834484653917e-05,80053
"27","Greenwich",9752,9654,98,0.120160674240371,0.118953153108751,0.0012075211316198,81158
"28","Groveland",17734,17698,36,0.220049385167078,0.219602685163356,0.0004467000037225,80591
"29","Hall",21727,21690,37,0.268848604838211,0.268390769040401,0.000457835797809813,80815
"30","Hamlin",15322,14066,1256,0.187921603257537,0.172516986778522,0.0154046164790149,81534
"31","Hurley",3512,2860,652,0.0440796244697141,0.0358962773301202,0.00818334713959385,79674
"32","Interlaken",16997,16908,89,0.210888742757175,0.209784483293423,0.00110425946375175,80597
"33","Kennedy",6536,6536,0,0.0817347372633369,0.0817347372633369,0,79966
"34","Kinderhook",11342,11320,22,0.141227742497821,0.140953804009463,0.000273938488357614,80310
"35","King_Ferry",23456,21938,1518,0.290854981709963,0.272031744063488,0.0188232376464753,80645
"36","Kirkville",3424,3381,43,0.0421524332442847,0.0416230656538921,0.000529367590392594,81229
"37","LeRoy",21314,15853,5461,0.263051366228124,0.195653247105867,0.0673981191222571,81026
"38","Lockport",15991,15898,93,0.196543798625877,0.195400744828603,0.00114305379727388,81361
"39","Lyndonville",7799,7789,10,0.095654520255602,0.0955318705309507,0.000122649724651368,81533
"40","Medina",18160,17768,392,0.222999938601338,0.218186283539019,0.00481365506231964,81435
"41","Melrose",5255,5135,120,0.0649752092683952,0.063491474708508,0.00148373455988724,80877
"42","New_Paltz",588,563,25,0.00739911160326668,0.0070845235248965,0.000314588078370182,79469
"43","Newark_Valley",1126,1125,1,0.014054445373641,0.0140419636281938,1.24817454472833e-05,80117
"44","Olean",1107,1105,2,0.0138556855873334,0.0138306527317104,2.50328556230052e-05,79895
"45","Oswego",378,372,6,0.00462696615459942,0.00455352224738356,7.34439072158639e-05,81695
"46","Owego",3084,3049,35,0.0385934175947941,0.0381554248529596,0.000437992741834564,79910
"47","Panama",3060,3060,0,0.0383175346548291,0.0383175346548291,0,79859
"48","Pavilion",27712,27114,598,0.342762433672649,0.335365929077663,0.00739650459498571,80849
"49","Penn_Yan",18183,18168,15,0.225643125721306,0.225456982241912,0.000186143479393917,80583
"50","Peru",9213,9212,1,0.110687940024509,0.110675925703438,1.20143210707163e-05,83234
"51","Pike",14944,13694,1250,0.18554294653721,0.170023093541258,0.0155198529959524,80542
"52","Plattsburgh",5430,5423,7,0.0650673441019988,0.0649834635479078,8.38805540909745e-05,83452
"53","Plessis",1210,1210,0,0.0146080573698253,0.0146080573698253,0,82831
"54","Portville",541,539,2,0.00677545806354653,0.00675041015942991,2.5047904116623e-05,79847
"55","Potter",10421,9006,1415,0.12918061237139,0.111640014875418,0.0175405974959712,80670
"56","Preble",8241,8218,23,0.102025404214227,0.101740659122985,0.000284745091242231,80774
"57","Ransomville",15580,15488,92,0.191532258064516,0.190401258851298,0.00113099921321794,81344
"58","Rush",15440,15393,47,0.190553766028608,0.189973712466215,0.000580053562392783,81027
"59","Salem",6779,6758,21,0.0833938171216278,0.0831354795851837,0.000258337536444045,81289
"60","Savannah",9874,9867,7,0.121735914190605,0.121649611638516,8.63025520897547e-05,81110
"61","Schaghticoke",7224,7132,92,0.0892667375132837,0.0881298964486074,0.00113684106467637,80926
"62","Schoharie",7224,7132,92,0.0892667375132837,0.0881298964486074,0.00113684106467637,80926
"63","Seneca_Castle",23051,22997,54,0.284727883593962,0.284060871068949,0.00066701252501297,80958
"64","Seneca_Falls",23051,22997,54,0.284727883593962,0.284060871068949,0.00066701252501297,80958
"65","Sharon_Springs",3584,3584,0,0.0443959964324646,0.0443959964324646,0,80728
"66","Sherwood",30648,29286,1362,0.379485401550234,0.362621034645006,0.0168643669052277,80762
"67","South_Colton",123,123,0,0.00147941448863978,0.00147941448863978,0,83141
"68","Spencer",1572,1560,12,0.0196203242595574,0.0194705507919272,0.000149773467630209,80121
"69","Spencerport",3037,2921,116,0.0373614477099659,0.0359344052554529,0.00142704245451302,81287
"70","Stone_Ridge",3285,2772,513,0.0412646970153753,0.0348206210431112,0.0064440759722641,79608
"71","Ticonderoga",842,835,7,0.010235713156903,0.010150618154411,8.50950024920679e-05,82261
"72","Tivoli",1973,1912,61,0.0247097574110486,0.0239457963354916,0.000763961075557003,79847
"73","Unadilla",2034,2030,4,0.0253568534563361,0.0253069874711712,4.98659851648694e-05,80215
"74","Waterport",15377,14803,574,0.188702631062242,0.181658649126252,0.00704398193599058,81488
"75","Williamson",5406,5368,38,0.0664421611523524,0.0659751241335234,0.000467037018828966,81364
