Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_5,VALUE_24,VALUE_25,VALUE_28,VALUE_36,VALUE_42,VALUE_43,VALUE_44,VALUE_61,VALUE_63,VALUE_70,VALUE_81,VALUE_82,VALUE_83,VALUE_87,VALUE_88,VALUE_176
Accord,,,,,,"-1","0","-1",,,"0","1497","0","0","6462","0","2235","0","0","701","108","49966","0","146","5148","814","32","147","16235"
Adams_Center,,,,,,"-1","0","-1",,,"0","484","1561","65","3942","0","1551","1","0","344","38","32818","0","21393","8108","2150","19","113","13764"
Afton,,,,,,"-1","0","-1",,,"0","3029","0","0","7728","0","57","0","0","634","0","56901","0","907","3748","2098","0","947","8036"
Athens,,,,,,"-1","0","-1",,,"0","1103","0","0","9293","0","1460","0","0","1455","21","42677","1","0","6359","3445","271","130","17954"
Amsterdam,,,,,,"-1","0","-1",,,"0","319","1","0","15714","215","365","0","0","1266","0","47588","0","2240","7619","543","0","0","9286"
Attica,,,,,,"-1","0","-1",,,"0","7375","2957","411","1663","0","2920","1","0","698","1998","28814","0","6","2164","330","596","1835","33091"
Avoca,,,,,,"-1","0","-1",,,"0","3062","1325","939","6603","1710","4588","686","0","6186","4526","37681","0","351","1410","138","58","520","14532"
Avon,,,,,,"-1","0","-1",,,"0","15576","4797","5293","1090","0","1930","624","0","4511","1448","6995","0","5","8696","521","770","1395","31369"
Baldwinsville,,,,,,"-1","0","-1",,,"0","8269","2762","5","10926","0","6856","2","0","2539","575","29555","0","18","6433","2967","134","2119","12203"
Batavia,,,,,,"-1","0","-1",,,"0","14080","4290","3430","638","0","2376","48","0","3120","1909","18155","0","4","5895","1352","1132","1495","27220"
Belfast,,,,,,"-1","0","-1",,,"0","1784","417","21","9211","268","5146","0","0","321","83","42066","0","1","4384","210","159","241","19894"
Bellona,,,,,,"-1","0","-1",,,"0","15722","3985","8364","2813","51","3472","1424","0","15471","7250","14301","0","381","1044","10","20","1175","9291"
Brockport,,,,,,"-1","0","-1",,,"0","5505","2510","1226","1279","0","444","3","0","1165","1670","32895","0","4","5347","480","613","1210","31130"
Carlton,,,,,,"-1","0","-1",,,"0","11598","6235","6229","1284","0","1012","3","0","2716","2676","17581","0","1","2985","1051","1250","1741","29206"
Clifton_Park,,,,,,"-1","0","-1",,,"0","490","0","0","6508","4","15","0","0","820","0","31580","0","655","30424","2999","0","0","11421"
