Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_55,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_229,VALUE_236,VALUE_242,VALUE_243,VALUE_247
Lyndonville,19077,12452,4,2776,1,30,54,0,2354,0,0,11,131,1,0,4758,3112,0,0,1417,6,3,0,27,252,105,0,0,0,4,2,0,2173,20,1,4177,2,0,0,0,206,2958,657,20,0,13,14577,91,344,762,6076,2540,197,4,0,1,0,0,0,0,0,9,0,0,0,0,0,0,128,0
Medina,0,17439,1,5369,0,73,121,0,2001,0,0,45,214,0,0,5071,3327,0,1,907,2,1,0,50,352,48,0,0,0,89,0,0,878,104,3,3443,2,0,0,0,520,3037,1223,70,7,50,22097,138,278,1114,5973,6884,248,1,0,0,0,0,0,0,1,86,0,0,0,0,0,0,167,0
Melrose,0,6066,0,269,0,83,0,0,17,0,0,81,29,0,0,1716,6795,0,0,0,0,5,0,0,0,0,0,0,0,0,29,0,2105,0,0,31,0,0,0,0,3280,3482,2469,978,604,662,35182,3084,697,8524,815,3418,422,31,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
New_Paltz,0,626,0,20,0,924,0,8,3,0,0,0,12,0,0,514,5723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3043,0,0,1466,0,0,0,4,1078,7678,2385,887,268,76,33345,1151,5677,1942,1392,10881,353,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Newark_Valley,0,1820,0,94,0,0,2,0,13,0,0,6,109,0,2,683,13274,5,0,4,0,0,0,0,0,0,0,0,0,8,0,0,1158,2,0,6,4,0,0,0,187,2697,702,134,29,3,35800,2977,10455,2628,6961,287,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Olean,0,1676,1,327,0,0,4,0,39,0,0,1,24,0,0,133,7036,0,0,41,0,7,0,16,0,0,0,0,0,0,0,0,73,2,0,0,7,0,0,0,319,3896,1360,506,84,78,55838,3326,376,2383,2082,124,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oswego,22459,245,0,83,0,17,4,1,148,0,0,1,81,0,0,341,2777,0,0,17,9,0,0,837,0,0,0,0,0,2,0,0,599,0,0,59,5,0,0,0,1068,4346,4953,3285,1503,234,22263,617,266,7506,661,7008,289,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owego,0,4526,0,355,2,12,16,0,122,0,0,61,537,0,3,1643,11273,2,1,88,2,0,0,0,1,0,0,0,0,13,0,2,705,0,0,5,4,12,0,0,2167,5295,3240,1451,289,660,25755,3645,11990,1729,3152,648,489,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Panama,0,2131,11,50,0,0,0,0,2,0,0,0,7,0,0,151,11065,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,152,0,0,0,83,2095,181,25,3,10,52715,5246,188,3480,366,1626,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavilion,0,29902,2,5779,0,713,1,0,3136,0,0,19,199,0,1,14903,1249,2,111,757,10,4,0,2,2,910,0,0,0,5,0,0,307,0,0,50,2,2,0,0,216,2622,568,65,7,114,12609,40,359,1446,3378,823,68,328,0,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0
