cdl_number,cdl_classification
36,Alfalfa
70,Cchristm
1,Corn
62,Crop Past
255,Filler
88,Grass
61,Idle Crop
62,Non Agg
25,Other Hay
62,Perm Past
44,Other Crop
71,Other Fruit & Nut
82,Urban
83,Water
87,Wetlands
63,Woodpast
63,Woods
