Field ID Soil Survey WS,X Coordinate,Y Coordinate,Corn area m2,MUID,STATE,AWC,CLAY,KFFACT,OM,PERM,THICK,HYGRP,DRAIN,SLOPE,LL,IFHYDRIC,AFLDFREQ
SMI_DUR,43.064027,-75.936687,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3,3.4,3.9,28.4,0,4
SMI_HOF,42.353305,-75.709457,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
SMI_HOL,42.904205,-74.277909,High,NY159,NY,0.17,16.2,0.42,1,1.77,71.3,2.6,4.5,2.3,26.7,0.2,2.2
SMI_JOH_1,43.003637,-75.590703,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
SMI_JOH_2,43.075096,-75.676876,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3,3.4,3.9,28.4,0,4
SMI_KEL,42.959892,-74.659539,High,NY007,NY,0.14,21.6,0.34,1,0.93,60,2.7,4.5,6.1,27.2,0.1,4
SMI_MCC,43.118349,-74.84857,Medium,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3,3.4,3.9,28.4,0,4
STA_CRA,43.188409,-77.270544,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3,3.4,3.9,28.4,0,4
STA_LOT,42.880592,-76.805378,High,NY075,NY,0.14,40.7,0.33,0.7,0.34,63.4,3.1,4,5.4,33.7,0,3.9
STA_PAD,43.030113,-77.340206,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
WICKHAM,42.856245,-77.117951,High,NY128,NY,0.12,19.2,0.31,1,0.66,67.7,2.1,3.6,8.3,23.9,0,4
WIS_BRU,41.808489,-74.08269,Medium,NY159,NY,0.17,16.2,0.42,1,1.77,71.3,2.6,4.5,2.3,26.7,0.2,2.2
WIS_COO_1,41.843114,-73.606481,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
WIS_COO_2,41.878961,-73.61421,Medium,NY062,NY,0.09,7.7,0.26,0.8,1.84,35.2,2.9,2.4,23.5,28.5,0,3.9
WIS_KEN,41.665776,-73.956651,Medium,NY062,NY,0.09,7.7,0.26,0.8,1.84,35.2,2.9,2.4,23.5,28.5,0,3.9
WIS_WAL,41.872026,-74.120294,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
ZUE_PED,42.874722,-77.107222,High,NY128,NY,0.12,19.2,0.31,1,0.66,67.7,2.1,3.6,8.3,23.9,0,4
ZUE_REE,42.781389,-76.983611,High,NY131,NY,0.13,29.6,0.32,1,0.41,62,3.1,4.8,3.9,31.8,0.1,4
