Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_53,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243
KAT_BAR,,,,,,"-1","0","0",,,"756","0","132","0","0","0","0","0","0","1","0","77","213","1","0","193","0","0","0","0","0","0","5","0","2","0","0","18","11","0","249","344","216","169","9","20","1409","61","1304","0","939","136","27","0","0","0","0","0","0","0","0","0"
SMI_LAT,,,,,,"-1","0","0",,,"1193","0","206","0","0","0","0","0","4","0","0","1457","295","0","0","19","0","0","0","0","0","0","0","0","1","0","0","0","0","0","53","524","101","48","12","2","1328","47","127","0","745","250","5","0","0","0","0","0","0","0","0","0"
SMI_DUR,,,,,,"-1","0","0",,,"1480","0","86","0","2","0","0","22","3","2","0","346","160","0","0","0","0","0","0","0","0","0","0","0","44","0","7","0","8","0","2","376","138","57","5","5","1823","94","57","9","939","823","3","5","0","0","0","0","0","0","0","0"
SMI_HOF,,,,,,"-1","0","0",,,"998","0","47","0","0","0","0","2","0","73","0","310","152","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","133","271","168","17","1","20","1960","81","559","1","1256","264","32","0","0","0","0","0","0","0","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"1720","0","28","0","0","0","0","37","1","0","0","465","336","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","3","0","0","261","124","67","12","2","1613","233","332","3","1021","217","3","0","0","0","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"423","3","620","0","0","0","0","564","0","2","0","457","151","0","0","9","0","0","0","0","0","0","0","0","3","0","0","0","0","0","174","175","107","45","3","0","2215","203","200","8","769","346","20","0","0","0","0","0","0","0","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"38","0","71","0","0","0","0","0","0","1","0","26","51","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","668","406","519","399","76","13","1449","34","1349","5","426","920","9","0","0","0","0","0","0","0","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"443","0","20","0","0","0","0","2","0","0","0","21","1563","0","0","0","1","0","0","0","0","0","33","0","10","0","0","0","0","0","0","229","201","82","14","0","1283","224","801","0","1117","285","2","0","0","0","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"767","0","18","0","0","0","0","0","0","0","0","116","1002","0","0","0","0","0","0","0","0","0","18","0","13","0","2","2","0","0","9","136","74","28","5","1","1196","63","360","0","827","1445","258","0","0","0","0","0","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"1262","2","85","0","0","0","0","87","0","2","0","1697","152","0","0","0","2","0","0","0","0","0","0","0","16","0","3","2","0","0","13","315","42","28","0","4","1382","11","136","0","718","430","3","0","0","0","0","2","90","0","0","0"
STA_HEM_2,,,,,,"-1","0","0",,,"1124","0","224","3","3","0","0","722","0","9","3","1195","91","0","0","28","9","0","0","2","0","0","23","0","176","0","7","19","0","0","13","207","146","103","34","147","514","6","84","2","797","481","21","0","0","0","0","0","0","0","0","263"
STA_HEM,,,,,,"-1","0","0",,,"1877","0","577","0","0","0","0","237","0","0","1","581","140","0","0","18","0","16","0","0","0","0","4","0","63","0","0","161","23","3","47","329","101","26","3","1","841","1","94","1","909","333","14","0","0","0","0","0","1","0","0","66"
STA_SWE,,,,,,"-1","0","0",,,"1921","3","183","0","2","0","0","282","0","2","0","1062","112","0","0","5","1","0","17","0","0","0","1","0","16","0","3","4","5","0","13","361","106","2","0","0","1133","0","50","29","624","403","90","0","2","0","10","0","0","0","0","0"
STA_COL,,,,,,"-1","0","0",,,"1768","0","594","0","23","0","0","634","0","0","0","544","49","0","0","209","3","0","0","0","3","0","4","0","46","0","10","5","6","0","11","204","243","125","0","1","740","0","93","2","963","229","4","0","0","0","3","0","2","0","0","0"
WIS_COO_2,,,,,,"-1","0","0",,,"429","0","255","0","4","0","0","0","0","0","0","235","303","0","0","0","0","0","1","1","0","0","0","0","103","0","1","0","0","0","38","111","272","75","7","4","2104","46","112","9","981","1133","24","0","0","0","0","0","0","0","0","0"
WIS_COO,,,,,,"-1","0","0",,,"761","0","353","0","0","0","0","455","4","11","0","454","337","0","0","0","0","0","0","0","0","0","0","0","29","0","17","0","0","0","21","130","70","7","0","0","1452","17","44","3","1962","122","5","0","0","0","0","0","0","0","0","0"
LET_NOB,,,,,,"-1","0","0",,,"2427","0","436","0","16","0","0","7","0","5","0","1901","45","0","2","21","3","0","0","0","17","0","0","0","12","0","3","0","0","0","4","185","51","33","19","16","884","0","41","0","262","61","2","0","0","0","0","0","1","0","0","1"
LET_TAB,,,,,,"-1","0","0",,,"2137","0","45","0","6","0","0","22","0","0","0","2033","52","1","0","21","8","0","0","12","9","0","3","0","21","1","0","0","3","0","14","294","37","25","12","8","1212","12","161","1","204","51","0","0","0","0","0","0","3","0","0","5"
WIS_HIG,,,,,,"-1","0","0",,,"19","0","8","0","4","0","0","0","0","0","0","15","34","0","0","0","0","0","8","0","0","0","0","2","92","9","308","0","0","0","22","392","455","448","197","9","2928","5","55","4","858","358","3","0","0","0","0","0","0","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"225","2","113","0","147","14","0","4","18","27","0","99","517","0","0","0","0","0","0","0","6","0","0","0","10","0","28","0","0","1","87","509","872","367","62","8","1449","8","32","0","1457","214","7","0","0","0","0","0","0","2","0","0"
WIS_KEN,,,,,,"-1","0","0",,,"11","2","0","0","0","3","0","0","0","2","0","16","13","0","0","0","0","0","0","0","0","0","0","0","15","1","239","0","0","0","1523","540","678","542","162","5","1533","4","52","3","602","171","92","0","0","0","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"486","0","1348","0","11","0","0","573","2","53","131","557","139","0","0","1","0","0","0","1","1","0","1","0","38","0","2","53","0","0","961","161","172","39","2","0","723","4","80","0","736","131","21","0","0","0","0","0","0","2","0","8"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"1240","0","313","0","0","0","3","166","0","18","0","886","389","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","0","294","112","13","3","0","1749","69","228","2","843","40","0","0","0","0","0","0","35","0","6","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"1983","0","33","0","0","0","0","4","0","0","0","652","915","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","1","0","323","152","17","0","4","882","62","181","2","1067","109","3","0","0","0","0","0","0","0","0","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"778","0","441","0","22","0","0","11","0","0","0","669","334","0","0","0","0","0","0","0","0","0","3","0","9","0","0","0","0","0","62","371","751","360","100","29","732","114","162","15","1342","72","14","2","0","1","0","0","0","0","11","0"
DEG_DIE_SWC,,,,,,"-1","0","0",,,"1612","0","342","0","3","2","0","7","0","18","0","151","273","0","0","3","0","0","0","0","0","0","5","0","0","0","4","4","0","0","4","416","158","33","4","4","1462","47","149","7","1473","216","10","0","0","0","0","0","0","0","0","0"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"754","0","39","0","0","0","0","0","0","6","0","195","274","0","0","0","0","0","0","0","0","0","1","0","6","0","0","3","2","0","14","512","824","273","49","11","1064","113","179","13","1845","210","18","0","0","0","0","0","0","0","0","0"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"1770","0","220","0","0","0","0","0","0","0","0","771","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","404","519","158","5","0","1587","45","215","4","318","154","9","0","0","0","0","0","0","0","0","0"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"1511","4","70","0","11","1","0","10","0","0","0","729","649","0","0","3","0","0","0","0","0","0","0","0","8","0","0","0","0","3","89","265","406","64","4","11","1045","31","103","3","1281","107","12","0","0","0","0","0","0","0","0","0"
DEG_VIL,,,,,,"-1","0","0",,,"1857","1","89","0","0","6","0","5","0","176","0","587","422","0","0","0","0","0","0","0","0","0","3","0","14","0","0","0","4","0","197","246","401","106","2","6","1096","5","60","7","948","159","19","0","0","0","0","0","0","0","0","0"
SEA_HOO,,,,,,"-1","0","0",,,"1657","0","976","0","7","0","0","987","0","1","0","706","127","0","4","40","0","0","0","0","0","0","445","8","11","0","0","47","0","0","1","312","60","33","4","0","480","3","68","0","249","165","8","4","0","0","0","0","0","2","0","1"
MIL_HUM,,,,,,"-1","0","0",,,"1697","0","1074","0","0","0","0","556","0","0","0","643","161","0","0","133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","192","113","67","26","0","1128","4","33","3","595","65","0","1","0","0","0","0","0","0","0","0"
ONE_TER,,,,,,"-1","0","0",,,"1234","0","24","0","0","0","0","0","34","0","0","449","317","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","82","590","756","664","217","5","608","101","20","7","1333","353","11","0","0","0","0","0","0","0","0","0"
ONE_ADO,,,,,,"-1","0","0",,,"799","3","10","0","0","1","0","0","0","2","0","516","938","0","0","0","0","0","0","0","0","3","3","0","4","0","0","0","0","0","0","282","12","19","0","5","2889","202","70","6","590","487","6","0","0","0","0","0","0","0","0","0"
ONE_STA,,,,,,"-1","0","0",,,"3612","1","17","0","0","0","0","0","0","3","0","146","134","11","0","5","0","0","0","0","0","1","0","0","11","0","0","0","0","0","1","394","193","100","116","29","1161","23","80","17","385","430","10","0","0","0","0","0","0","0","0","0"
