State/province,Lab/group (e.g. Fanning),Site Location Latitude,Site Location Longitude,"Site name (e.g., farm, or how you identify this site)",Collection Date,Sample type,Hosts,Ganaspis kimorum present,Total Ganaspis kimorum in the sample,Leptopilina japonica present,Total Leptopilina japonica in the sample,"Habitat/fruit where Gb or Lj detected (ie., wooded, riparian)","Further details (e.g. Gb found 100 m from release, or describe sentinel trap, mass fruit collected (g))",Timing of when sample was taken,"Type of fruit(s) collected, or used in sentinel","Other species present? (e.g., 4 Asobara)"
Maine,Fanning,44.297986,-69.188409,CN,7/30/24,Fruit Collection,117,No,0,No,0,1m into field,87.4,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,7/30/24,Fruit Collection,15,No,0,No,0,10m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,7/30/24,Fruit Collection,8,No,0,No,0,25m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/6/24,Fruit Collection,44,No,0,No,0,1m into field,62.4,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/6/24,Fruit Collection,98,No,0,No,0,10m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/6/24,Fruit Collection,26,No,0,No,0,25m into field,100.4,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/13/24,Fruit Collection,139,No,0,Yes,11,10m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/13/24,Fruit Collection,83,No,0,Yes,1,25m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/20/24,Fruit Collection,26,No,0,Yes,9,1m into field,12.8,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/20/24,Fruit Collection,92,No,0,Yes,50,10m into field,84.7,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.297986,-69.188409,CN,8/20/24,Fruit Collection,86,No,0,Yes,33,25m into field,93,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.499077,-68.49165,ME_2022_2,9/18/22,Sentinel,NA,No,0,Yes,13,Wooded field edge,Sentinel traps with SWD infested blueberries (10) and banana slices (3). 6 traps per release site along wooded field edge where releases occurred.,Post-release,Blueberry and Banana,No
Maine,Fanning,44.499077,-68.491649,LHFB,7/24/24,Fruit Collection,43,No,0,No,0,Field edge,150.3,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.616919,-68.885257,ME_2022_3,9/16/22,Sentinel,NA,No,0,No,0,Wooded edge of wild blueberry field,Sentinel traps baited with SWD infested blueberries (10) and banana slices (3). 6 sentinel traps per field where releases occurred.,Post-release,Blueberry and Banana,No
Maine,Fanning,44.625803,-67.935629,ME_2022_4,9/20/22,Sentinel,NA,No,0,No,0,Wooded edge along wild blueberry field,Sentinel traps baited with SWD infested blueberries (10) and banana slices (3). 6 sentinel traps per field along wooded edge where GB releases occurred.,Post-release,Blueberry and Banana,No
Maine,Fanning,44.625803,-67.935629,INT,8/11/23,Fruit Collection,NA,No,0,No,0,Field edge,65g fruit,Post-release,Blueberry,No
Maine,Fanning,44.625803,-67.935629,INT,8/11/23,Fruit Collection,NA,No,0,No,0,Field edge,23.6g fruit,Post-release,Bunchberry,No
Maine,Fanning,44.625803,-67.935629,INT,7/26/23,Fruit Collection,NA,No,0,No,0,Field edge,13.6g fruit,Pre-release,Bunchberry,No
Maine,Fanning,44.625803,-67.935629,INT,7/26/23,Sentinel,NA,No,0,No,0,Field edge,6 traps baited with 33g SWD infested blueberry,Pre-release,Blueberry,No
Maine,Fanning,44.625803,-67.935629,INT,8/23/23,Sentinel,NA,No,0,No,0,Field edge,6 traps baited with 33g SWD infested blueberry,Pre-release,Blueberry,No
Maine,Fanning,45.022744,-69.26176,SC,7/30/24,Fruit Collection,442,No,0,Yes,14,"GPS coordinates are a random guess, fruit was collected by a coworker out on a hike, but it came from Dexter, Maine.  We might be able to get more accurate location data if higher granularity is needed",59.2,Post-release,Blackberry,No
