Collection Date,Country/Ocean,Farm,State/Province,Latitude,Longitude,Type of collection (select from the menu),Host plant,N° of subsample (if any),Sample weight (gr),SWD pupae,SWD,L. japonica,G. kimorum,Other parasitoids,Other drosophilid pupae,Other drosophilid,L. japonica,Other parasitoids ,Notes (if any)
11-Jun-24,USA,Fred Miller,New Jersey,"39° 47' 503""N","74° 46' 859""W",Fruit from plant,Highbush Blueberry,,9.1,,14,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39° 47' 647""N","74° 47' 091""W",Fruit from plant,Highbush Blueberry,,11,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39° 47' 626""N","74° 47' 109""W",Fruit from plant,Highbush Blueberry,,18.8,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39° 42' 561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,21.6,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,15.7,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,21.2,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Stoney Creek,New Jersey,"39°41'341""N","74°50'772""W",Fruit from plant,Blackberry,,18.1,,22,0,0,0,0,0,0,0,
25-Jun-24,USA,Stoney Creek,New Jersey,"39°41'341""N","74°50'772""W",Fruit from plant,Highbush Blueberry,,26.7,,19,0,0,0,0,0,0,0,
26-Jun-24,USA,Moore's Meadows,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,37.1,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Moore's Meadows,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,16.1,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Moore's Meadows,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,30.4,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Little Buck,New Jersey,"39°43'692""N","74°44'702""W",Fruit from plant,Highbush Blueberry,,33.1,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Little Buck,New Jersey,"39°43'692""N","74°44'702""W",Fruit from plant,Highbush Blueberry,,8.8,,2,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Home,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,12.3,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Home,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Blackberry,,19.2,,19,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - 206,New Jersey,"39°42'816""N","74°38'622""W",Fruit from plant,Highbush Blueberry,,14,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - 206,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,40.4,,0,0,0,0,0,0,0,0,
