,collection_date,farm,name,host_plant,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop,forest_prop,total_nat_prop,buffer,swd_sum,lj_sum,gk_sum,sample_type,presence_lj,presence_gk
18,2024-06-12,ABC Mays Landing,J7,Highbush Blueberry,1472.0,0.1123749904572868,10091.0,0.7703641499351096,219.0,0.0167188334987403,1350.0,0.1030613023894953,827.0,0.0631345904267501,0.2391785632491029,0.78708298343385,1500.0,0.0,0,0.0,Fruit Collection,0,0
19,2024-06-12,ABC Mays Landing,J7,Highbush Blueberry,1472.0,0.1123749904572868,10091.0,0.7703641499351096,219.0,0.0167188334987403,1350.0,0.1030613023894953,827.0,0.0631345904267501,0.2391785632491029,0.78708298343385,1500.0,0.0,0,0.0,Fruit Collection,0,0
20,2024-06-12,ABC Home,J6,Highbush Blueberry,3865.0,0.2944088970140158,8706.0,0.6631627056672761,106.0,0.0080743449116392,969.0,0.0738117001828153,22.0,0.0016758074344911,0.1899756246191346,0.6712370505789154,1500.0,14.0,0,0.0,Fruit Collection,0,0
21,2024-06-12,ABC Home,J6,Highbush Blueberry,3865.0,0.2944088970140158,8706.0,0.6631627056672761,106.0,0.0080743449116392,969.0,0.0738117001828153,22.0,0.0016758074344911,0.1899756246191346,0.6712370505789154,1500.0,2.0,0,0.0,Fruit Collection,0,0
22,2024-06-12,ABC Home,J6,Highbush Blueberry,3865.0,0.2944088970140158,8706.0,0.6631627056672761,106.0,0.0080743449116392,969.0,0.0738117001828153,22.0,0.0016758074344911,0.1899756246191346,0.6712370505789154,1500.0,6.0,0,0.0,Fruit Collection,0,0
23,2024-06-12,Macrie Brothers,J5,Highbush Blueberry,2542.0,0.1934992768516404,9527.0,0.725203623353886,83.0,0.0063180330364619,1275.0,0.0970541219456496,13.0,0.0009895714394458,0.2067443099642232,0.7315216563903479,1500.0,0.0,0,0.0,Fruit Collection,0,0
24,2024-06-12,Macrie Brothers,J5,Highbush Blueberry,2542.0,0.1934992768516404,9527.0,0.725203623353886,83.0,0.0063180330364619,1275.0,0.0970541219456496,13.0,0.0009895714394458,0.2067443099642232,0.7315216563903479,1500.0,0.0,0,0.0,Fruit Collection,0,0
25,2024-06-12,Variety Farms Nesco,J13,Blackberry,4212.0,0.320109439124487,7844.0,0.596139230886153,89.0,0.0067639458884328,999.0,0.0759233926128591,21.0,0.0015959872321021,0.1673506611947104,0.6029031767745858,1500.0,0.0,0,0.0,Fruit Collection,0,0
26,2024-06-12,Variety Farms Nesco,J13,Blackberry,4212.0,0.320109439124487,7844.0,0.596139230886153,89.0,0.0067639458884328,999.0,0.0759233926128591,21.0,0.0015959872321021,0.1673506611947104,0.6029031767745858,1500.0,0.0,0,0.0,Fruit Collection,0,0
27,2024-06-12,Variety Farms Nesco,J13,American Holly,4212.0,0.320109439124487,7844.0,0.596139230886153,89.0,0.0067639458884328,999.0,0.0759233926128591,21.0,0.0015959872321021,0.1673506611947104,0.6029031767745858,1500.0,0.0,0,0.0,Fruit Collection,0,0
