Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
MIL_MCC,,,,,,"-1","0","0",,,"8318","0","3831","0","0","0","0","0","766","0","5","76","0","0","4219","1887","0","0","562","0","0","0","0","0","0","0","0","0","1","0","7","0","0","2","0","4","0","126","2920","1709","997","327","18","17070","1400","1921","38","8900","3058","46","2","0","0","0","0","0","0","0","0","0","1","0","0"
KAT_SAU,,,,,,"-1","0","0",,,"4447","0","118","0","4","0","37","0","216","0","2","176","0","0","499","7470","0","0","321","3","0","0","0","0","1","0","0","0","13","0","13","0","0","0","5","3","0","2","3359","622","226","34","4","20695","2965","5977","22","9226","147","12","4","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_SAU_2,,,,,,"-1","0","0",,,"5122","0","164","0","4","0","42","0","218","0","4","323","0","0","527","9075","0","0","559","3","0","0","0","0","1","0","0","0","107","0","18","0","0","0","6","6","0","5","3038","283","122","15","6","19449","2181","4846","23","10357","102","18","4","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_TEE,,,,,,"-1","0","0",,,"4017","2","351","0","2","3","0","0","25","0","1","1","0","0","1341","3888","0","0","1","0","0","0","0","0","0","0","0","0","12","0","105","0","0","6","6","2","0","65","2107","327","174","9","8","25272","3065","9404","5","6104","746","69","0","0","0","0","0","0","2","0","0","0","5","0","0"
KAT_TEE_2,,,,,,"-1","0","0",,,"4124","4","161","0","2","0","0","0","11","0","0","3","0","0","1565","4816","0","0","1","2","0","0","0","0","0","0","0","0","14","0","230","0","0","3","5","4","0","100","2118","397","195","15","6","24763","2672","9897","6","5216","698","105","2","2","0","0","0","0","2","0","0","0","0","2","0"
KAT_HAB_2,,,,,,"-1","0","0",,,"9113","0","1851","0","3","0","0","0","20","0","0","130","0","0","2201","7164","2","0","42","17","0","0","0","0","4","0","0","0","17","0","627","0","0","12","131","5","0","421","2642","358","138","28","22","12357","4607","8636","21","5787","1052","96","3","0","0","0","0","0","2","0","0","0","0","13","2"
KAT_HAB,,,,,,"-1","0","0",,,"11234","0","3791","0","2","0","0","0","23","0","0","143","0","0","770","4266","3","39","180","78","0","0","0","0","45","0","0","0","37","0","244","0","0","10","541","8","1","63","5081","1849","554","122","196","11834","1717","7559","22","5956","995","63","14","2","0","0","0","0","0","0","1","0","4","0","0"
KAT_BAR,,,,,,"-1","0","0",,,"3033","0","405","0","0","0","0","0","239","0","0","4","0","0","720","1338","1","0","329","0","0","0","0","0","0","0","0","0","25","0","14","0","0","2","34","16","0","778","2847","870","568","27","78","21804","1165","14691","20","7039","425","114","22","0","0","0","0","0","0","0","0","0","0","1","0"
SMI_LAT,,,,,,"-1","0","0",,,"10099","2","790","0","2","0","0","0","30","0","10","170","4","0","7697","2952","0","0","115","0","0","0","0","0","0","0","0","0","13","0","41","0","0","0","0","45","3","261","3197","1498","1018","338","24","12498","706","1955","25","11673","2547","62","0","0","0","0","0","0","0","0","0","0","0","3","0"
SMI_DUR,,,,,,"-1","0","0",,,"4160","4","448","0","16","0","1","0","261","0","18","11","0","0","2606","1771","0","0","7","0","0","4","0","0","0","0","0","0","5","0","129","0","0","30","2","56","0","1212","3440","1388","649","90","152","19187","1258","611","226","9791","10598","322","22","0","0","0","0","0","0","0","0","0","1","0","0"
