Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
SMI_HOF,,,,,,"-1","0","0",,,"121","0","0","0","0","0","0","0","0","163","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","59","70","3","0","0","462","51","306","1","108","151","12","0","0","0","0","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"447","0","6","0","0","33","0","0","0","181","110","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","60","19","22","12","0","355","9","23","0","293","48","3","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"38","1","79","0","0","491","0","0","0","54","20","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","96","60","24","11","0","0","389","32","44","3","186","91","4","0","0","0","0","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"10","0","0","0","0","0","0","0","0","5","31","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","21","122","161","60","11","6","319","10","292","3","235","326","3","0","0","0","0","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"50","0","10","0","0","0","0","0","0","4","371","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","54","21","4","2","0","360","116","248","0","321","20","0","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"236","0","5","0","0","0","0","0","0","60","338","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","1","77","33","9","5","0","228","8","91","0","282","161","44","0","0","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"207","0","12","0","0","7","0","0","0","695","34","0","0","0","1","0","0","0","0","0","12","0","0","0","0","0","3","156","23","10","0","0","133","0","20","0","254","60","1","0","0","0","0","0","0"
STA_HEM_2,,,,,,"-1","0","0",,,"540","0","9","0","0","339","0","0","0","224","16","0","0","1","0","0","0","0","7","0","11","0","2","5","0","0","0","43","38","18","1","3","97","0","14","0","126","93","0","0","0","0","0","0","27"
STA_HEM,,,,,,"-1","0","0",,,"597","0","51","0","0","0","0","0","0","25","47","0","0","0","0","0","0","0","3","0","0","0","0","121","0","0","6","102","22","15","1","0","207","0","29","1","248","73","3","0","0","0","0","0","66"
STA_SWE,,,,,,"-1","0","0",,,"509","2","70","0","0","20","0","0","0","446","28","0","0","1","0","0","0","0","0","0","2","0","0","4","0","0","10","111","54","2","0","0","84","0","0","8","180","45","31","0","1","0","0","0","0"
STA_COL,,,,,,"-1","0","0",,,"898","0","166","3","0","174","0","0","0","66","12","0","0","0","0","0","0","0","4","0","24","0","4","4","0","0","0","39","54","2","0","0","34","0","16","0","125","13","0","0","0","0","0","0","0"
WIS_COO_2,,,,,,"-1","0","0",,,"147","0","216","4","0","0","0","0","0","58","68","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","4","36","82","26","0","0","434","3","36","6","195","224","3","0","0","0","0","0","0"
