Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_219,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243
STA_HEM_2,,,,,,"-1","0","0",,,"5553","0","1337","3","23","0","0","1662","56","11","0","4","4294","698","0","0","347","9","0","0","2","0","3","0","0","0","44","0","332","0","0","11","67","0","4","47","922","412","219","117","508","3409","16","268","8","2704","2214","65","5","0","1","0","0","0","0","0","0","448"
STA_HEM,,,,,,"-1","0","0",,,"7798","5","2099","0","7","3","0","409","34","9","0","1","3583","517","0","0","81","4","25","0","2","0","0","0","0","0","24","0","294","0","0","8","209","28","4","91","1198","430","108","23","47","3654","43","401","4","2417","1660","46","0","0","0","0","0","0","109","0","0","490"
STA_SWE,,,,,,"-1","0","0",,,"5338","10","1020","0","20","0","0","346","2","6","0","0","3320","316","5","6","34","9","0","19","3","0","4","0","0","0","5","0","85","0","0","6","5","12","0","19","1150","299","37","4","0","9277","63","515","91","2385","1111","211","6","2","0","0","15","2","4","0","0","2"
STA_COL,,,,,,"-1","0","0",,,"3702","0","1338","0","281","0","0","1882","2","5","0","0","2334","229","0","4","562","16","0","4","2","7","140","0","0","0","11","0","91","0","5","64","7","15","0","48","1563","959","357","29","18","4381","115","816","10","5106","1744","42","6","0","0","0","33","0","9","0","0","149"
WIS_COO_2,,,,,,"-1","0","0",,,"1940","0","490","0","7","0","0","0","3","13","0","0","922","823","0","0","0","0","0","2","1","0","0","0","0","0","1","0","509","0","0","9","0","0","0","73","600","664","195","52","10","11317","248","380","30","4598","2071","37","0","0","0","0","0","0","0","0","0","0"
WIS_COO,,,,,,"-1","0","0",,,"2332","0","1045","2","4","15","0","455","6","17","0","0","1280","1399","0","0","0","0","0","0","0","0","0","0","0","0","4","0","213","0","0","35","0","0","3","169","579","506","80","18","1","8409","154","458","13","6773","1021","35","0","0","0","0","0","0","0","2","0","0"
LET_NOB,,,,,,"-1","0","0",,,"9339","0","2549","0","28","0","0","399","0","5","0","0","5100","253","0","2","426","4","0","0","0","3","17","0","0","0","1","0","20","0","0","3","0","3","0","20","971","177","95","21","34","4113","2","219","7","1429","556","13","0","0","0","0","0","0","5","0","2","2"
LET_TAB,,,,,,"-1","0","0",,,"8384","0","180","0","8","0","0","447","0","6","0","0","8189","243","1","0","30","10","0","0","12","0","9","0","0","0","7","0","36","0","1","1","0","3","0","20","1242","176","44","32","14","3924","287","1408","13","754","142","4","1","0","0","0","0","0","5","0","0","6"
WIS_HIG,,,,,,"-1","0","0",,,"51","0","9","0","6","1","0","2","0","2","0","0","43","67","0","0","0","0","0","11","0","0","0","0","0","0","2","2","241","0","13","413","0","2","0","268","1185","1263","1091","402","66","14663","340","544","13","2285","1890","50","0","0","0","0","0","0","0","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"1006","2","612","0","201","86","0","7","19","43","0","0","236","1027","0","0","0","0","0","2","0","0","12","0","4","0","1","2","93","0","0","62","0","0","1","202","1973","3221","1852","399","19","6968","142","274","7","5518","1110","19","0","0","0","0","0","0","0","2","2","0"
WIS_KEN,,,,,,"-1","0","0",,,"131","2","22","1","12","10","0","2","1","8","0","0","33","84","0","2","0","0","0","71","0","0","0","2","0","0","2","2","139","0","2","1170","0","0","3","5689","1448","1841","1649","1022","36","6861","18","141","25","3400","649","383","0","0","0","0","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"2321","0","4406","0","17","0","0","1561","2","124","0","182","954","293","0","0","10","0","0","0","1","0","1","0","0","0","19","0","53","5","0","463","177","3","0","8151","582","554","110","6","6","3115","11","250","4","1681","374","42","0","0","0","0","0","0","0","2","2","274"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"3535","5","538","0","3","0","3","182","2","22","0","0","2014","1572","0","0","3","2","0","0","0","0","0","0","0","0","6","0","9","0","0","0","0","0","0","1","926","428","61","6","3","11213","282","841","19","3570","370","7","0","0","0","0","0","0","35","0","6","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"6913","0","175","0","3","0","0","8","1","0","0","0","2944","3297","0","0","3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1","6","10","2","3","1105","644","131","7","9","4447","336","613","27","4461","399","26","3","0","0","0","0","0","0","0","4","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"1987","9","554","0","34","0","0","25","4","12","0","0","1185","1655","0","0","2","0","0","0","3","0","0","0","0","0","14","0","19","0","0","1","3","2","2","1049","1332","2943","2639","997","239","5229","228","415","47","4436","433","83","7","0","0","3","0","0","0","0","11","0"
DEG_DIE_SWC,,,,,,"-1","0","0",,,"3583","0","691","0","14","3","0","21","3","29","0","0","840","1496","0","0","11","0","0","0","0","0","0","0","0","0","5","0","6","0","0","4","4","2","0","36","1210","524","155","36","29","10198","423","881","27","4836","538","32","0","0","0","0","0","0","0","0","3","0"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"2519","0","448","0","2","0","0","36","0","44","0","0","2007","1232","0","0","0","0","0","0","0","0","0","0","0","0","3","0","17","0","0","0","5","8","2","51","1884","2998","2243","533","47","5770","243","589","32","4313","536","41","4","0","0","0","0","0","0","0","11","0"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"3630","2","753","0","0","0","0","28","0","33","0","0","2062","992","0","0","0","0","0","0","0","0","0","0","0","0","5","0","13","0","0","0","0","0","0","504","2271","3156","1255","187","1","6722","237","527","30","2536","653","41","2","0","0","0","0","0","0","1","0","0"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"3885","12","256","0","17","10","0","20","0","212","0","0","2295","2422","0","0","8","0","0","0","0","0","0","0","0","0","10","0","26","0","0","1","0","4","3","1011","1023","1127","247","36","81","7271","79","379","13","4573","458","81","1","0","0","0","0","101","3","0","6","0"
DEG_VIL,,,,,,"-1","0","0",,,"4452","6","264","0","17","10","0","18","2","212","0","0","2267","1653","0","0","8","0","0","0","0","0","0","0","0","0","11","0","27","0","0","1","0","4","3","710","809","1167","267","36","25","7715","232","803","16","4318","442","48","1","0","0","0","0","101","24","0","4","0"
SEA_HOO,,,,,,"-1","0","0",,,"6268","0","2995","0","8","2","0","3298","6","23","0","1","3751","804","2","4","56","8","3","0","0","0","0","0","0","0","745","8","31","0","0","6","283","5","0","35","1227","372","115","18","3","2740","74","331","0","1904","452","28","7","0","0","0","0","0","0","2","0","9"
MIL_HUM,,,,,,"-1","0","0",,,"4813","0","2321","0","0","0","0","988","0","0","0","0","1339","628","5","0","331","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","2127","1496","180","30","0","6445","351","665","15","3805","431","3","1","0","0","0","0","0","0","0","0","0"
ONE_TER,,,,,,"-1","0","0",,,"2386","25","77","0","0","2","0","1","36","4","0","0","1600","1392","0","0","1","0","0","0","0","0","0","0","0","0","1","0","96","0","0","0","0","0","0","666","2390","3037","2309","797","32","4067","605","130","30","5737","1863","69","0","0","0","0","0","0","0","0","0","0"
ONE_ADO,,,,,,"-1","0","0",,,"1956","3","72","0","1","8","0","4","2","23","0","0","950","1983","0","0","1","0","0","0","0","0","0","0","0","5","3","0","124","0","0","0","2","0","0","40","2772","278","159","46","84","11171","1757","298","66","2967","2557","64","13","0","0","0","0","0","0","0","0","0"
ONE_STA,,,,,,"-1","0","0",,,"9008","1","22","0","0","0","0","0","0","6","0","0","1916","1340","11","0","5","0","0","0","0","0","0","0","0","3","3","0","29","0","0","0","0","0","0","15","1059","480","244","135","33","7202","502","305","42","2130","2982","54","0","0","0","0","0","0","0","0","0","0"
