Latitude,Longitude,Site ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244,VALUE_249
43.286472000000003,-75.518583000000007,KUH_COL,"507","0","95","0","8","0","0","0","0","0","0","0","0","0","0","86","30","0","0","0","0","0","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","314","40","4","1","12","1137","145","0","0","1034","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.860750000000003,-78.252916999999997,LET_MAC,"1054","1","18","0","0","0","0","0","3","0","0","2","0","0","0","516","21","0","0","9","6","0","0","9","0","1","0","0","0","2","9","0","0","0","0","0","0","2","254","117","106","30","29","453","0","13","0","733","51","15","1","0","3","0","4","0","0","0","0","1","0","0","0","0","0"
43.025460000000002,-77.882131999999999,LET_STE_1,"1613","2","169","0","0","0","3","0","10","0","0","0","0","0","0","385","0","0","0","146","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","160","69","62","0","0","316","3","13","0","323","136","5","0","31","0","0","0","0","0","0","0","22","0","0","0","0","0"
43.025486999999998,-77.884435999999994,LET_STE_2,"1426","4","168","0","0","0","8","0","31","0","0","0","0","0","0","461","1","0","0","146","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","173","71","58","0","0","273","2","18","0","402","109","5","0","33","0","0","0","0","0","0","0","71","0","0","0","0","0"
43.214666999999999,-78.554721999999998,LET_VER,"381","0","500","0","5","0","0","0","218","0","0","0","0","0","0","601","1","1","0","28","0","0","4","0","0","0","5","0","0","0","5","0","60","8","0","0","0","0","160","47","5","19","19","572","2","94","0","596","120","0","0","0","0","0","4","0","0","10","0","0","0","1","10","0","0"
42.943027999999998,-77.706028000000003,LET_WAT,"819","0","160","0","0","0","0","0","46","0","0","0","0","0","0","897","2","0","0","6","0","0","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","189","86","14","2","13","367","1","53","0","744","29","2","0","0","3","0","0","0","0","0","0","21","3","0","0","0","0"
42.049999999999997,-77.137467000000001,MIL_BAR_1,"284","0","169","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","220","129","36","10","21","873","15","664","0","880","16","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.051943999999999,-77.061667000000000,MIL_BAR_2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","59","174","18","4","7","0","719","44","563","0","1863","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.461388900000003,-78.712221999999997,MIL_COB,"401","0","19","0","0","0","0","0","6","0","0","4","0","0","0","12","4","0","0","16","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","7","111","58","17","0","66","612","505","757","0","811","13","11","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
42.361666600000000,-79.171940000000006,MIL_CRO_1,"932","0","225","0","0","0","0","0","25","0","0","15","33","0","0","81","154","0","0","45","0","0","0","0","0","10","0","0","0","0","35","0","0","3","0","0","0","1","147","30","7","1","0","796","119","264","0","539","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.374699999999997,-79.145799999999994,MIL_CRO_2,"525","0","47","0","0","1","0","0","0","0","0","0","0","0","0","149","100","0","0","28","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","3","189","27","7","0","1","1372","37","327","0","654","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
