latitude,longitude
43.17,-80.761
42.771,-80.251
45.694,-86.643
45.672,-86.699
45.679,-86.707
43.344,-84.456
44.947,-64.214
41.924,-84.927
43.379,-81.526
43.331,-81.479
42.682,-80.798
42.703,-80.573
42.626,-80.455
42.731,-80.797
42.636,-80.604
43.664,-80.533
43.592,-80.181
43.544,-80.617
43.453,-80.672
43.505,-80.313
43.602,-80.479
43.583,-80.359
43.634,-80.512
43.521,-80.361
43.441,-80.332
43.76,-80.394
43.526,-80.415
43.925,-81.029
43.501,-80.457
43.798,-80.425
45.37,-62.14
42.583,-81.572
43.32,-81.506
43.376,-81.525
46.194,-60.273
45.07,-74.341
45.178,-74.091
45.143,-74.233
45.18,-73.985
45.201,-74.123
45.11,-74.03
45.233,-73.946
45.121,-74.341
43.446,-81.638
45.43,-63.537
45.151,-74.219
42.895,-80.322
42.349,-81.838
42.351,-81.909
42.383,-81.82
42.453,-81.935
43.709,-81.456
43.7,-81.437
46.23,-72.5
44.934,-76.477
45.126,-73.905
45.053,-73.356
45.102,-73.372
46.245,-72.979
45.606,-74.307
45.2,-73.332
46.004,-72.431
45.597,-72.426
46.15,-73.577
45.086,-73.261
45.861,-72.632
45.272,-73.309
45.145,-73.544
45.432,-72.901
45.443,-72.946
45.103,-73.065
46.597,-72.32
45.145,-73.356
45.112,-73.037
43.587,-80.173
42.487,-81.859
42.836,-80.608
42.858,-80.684
42.883,-80.715
42.941,-80.705
42.9,-80.656
42.922,-80.738
42.89,-80.86
42.661,-81.01
42.689,-80.721
42.763,-80.522
42.76,-80.53
42.778,-80.653
42.794,-80.595
42.71,-80.516
42.801,-80.491
42.893,-80.44
42.876,-80.386
42.692,-80.349
42.728,-80.372
42.621,-80.585
42.813,-80.649
42.844,-80.692
42.854,-80.799
42.865,-80.811
42.967,-80.73
42.913,-80.807
42.413,-81.798
43.71,-80.475
43.662,-80.135
43.643,-80.351
42.902,-80.636
43.292,-81.292
43.754,-80.57
43.727,-80.325
43.466,-80.277
42.931,-80.052
45.301,-84.04
42.524,-81.776
45.325,-84.22
42.554,-81.679
42.936,-80.542
43.613,-80.283
43.157,-81.021
43.426,-80.647
43.946,-80.192
43.375,-80.394
43.424,-80.699
42.881,-80.535
45.654,-65.49
46.054,-65.068
45.722,-65.609
45.414,-83.932
45.342,-83.867
45.204,-83.632
45.118,-83.886
45.027,-83.901
45.014,-83.698
45.154,-83.701
44.989,-83.587
43.393,-84.516
42.738,-81.245
42.77,-81.096
42.967,-80.727
42.903,-80.769
43.754,-80.104
42.954,-81.376
43.716,-80.448
44.949,-64.212
44.104,-79.921
45.806,-73.672
43.803,-80.119
44.168,-79.919
45.362,-62.132
42.176,-85.972
43.426,-81.195
45.025,-63.166
42.87,-81.643
43.674,-85.315
45.071,-63.42
45.43,-63.536
43.421,-85.203
43.163,-85.157
43.119,-79.596
45.749,-73.955
42.952,-79.41
43.33,-85.328
43.991,-77.193
44.113,-77.74
43.927,-77.104
43.919,-77.097
42.65,-81.88
43.972,-77.216
42.494,-81.906
43.246,-80.509
42.696,-81.258
42.745,-81.229
42.73,-80.896
42.733,-81.484
42.527,-81.798
42.434,-81.757
42.584,-81.539
42.627,-81.388
42.629,-81.473
42.744,-81.248
