,card_id,data_collector,site,collection_date,n_scm_i_m,n_scm_i_f,n_scm_o_m,n_scm_o_f,n_d_florilega_i,n_d_florilega_o,total_scm,landscape_type,farm,placement
318,2319,Shea Crowther,DIP_FLE,2023-05-02,11.0,8.0,23.0,18.0,1.0,0.0,60.0,Field,Fleming,Out
319,2320,Shea Crowther,DIP_FLE,2023-05-02,,,,,,,,Field,Fleming,Out
320,2321,Shea Crowther,DIP_PAT,2023-05-02,,,,,,,,Field,Patterson,Out
321,2322,Shea Crowther,DIP_PAT,2023-05-02,11.0,23.0,5.0,27.0,1.0,1.0,66.0,Field,Patterson,Out
374,2375,Shea Crowther,DIP_PAT,2023-05-09,,,,,,,,Field,Patterson,Out
375,2376,Shea Crowther,DIP_PAT,2023-05-09,10.0,9.0,22.0,20.0,2.0,4.0,61.0,Field,Patterson,Out
376,2377,Shea Crowther,DIP_FLE,2023-05-09,,,,,,,,Field,Fleming,Out
377,2378,Shea Crowther,DIP_FLE,2023-05-09,10.0,16.0,1.0,1.0,1.0,0.0,28.0,Field,Fleming,Out
378,2379,Shea Crowther,DIP_CUR,2023-05-09,,,,,,,,Field,CURC,Out
379,2380,Shea Crowther,DIP_CUR,2023-05-09,31.0,34.0,5.0,10.0,3.0,1.0,80.0,Field,CURC,Out
380,2381,Shea Crowther,POV_DUN,2023-05-09,,,,,,,,Field,Dunlop,Out
381,2382,Shea Crowther,POV_DUN,2023-05-09,6.0,1.0,1.0,1.0,0.0,0.0,9.0,Field,Dunlop,Out
432,2433,Shea Crowther,POV_DUN,2023-05-16,,,,,,,,Field,Dunlop,Out
433,2434,Shea Crowther,POV_DUN,2023-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Dunlop,Out
434,2435,Shea Crowther,DIP_CUR,2023-05-16,,,,,,,,Field,CURC,Out
435,2436,Shea Crowther,DIP_CUR,2023-05-16,0.0,1.0,2.0,0.0,0.0,0.0,3.0,Field,CURC,Out
436,2437,Shea Crowther,DIP_FLE,2023-05-16,,,,,,,,Field,Fleming,Out
437,2438,Shea Crowther,DIP_FLE,2023-05-16,1.0,1.0,1.0,0.0,0.0,0.0,3.0,Field,Fleming,Out
