Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_219,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
MIL_YOD,,,,,,"-1","0","0",,,"3245","2","1794","0","0","0","0","235","0","0","1","52","0","0","4318","1347","0","0","10","0","0","0","0","0","0","0","20","0","9","0","0","0","0","0","0","3","957","194","85","10","4","7317","244","233","49","5079","521","20","63","0","0","0","0","121","0","0","0","0"
MIL_CHA,,,,,,"-1","0","0",,,"9225","0","1986","0","6","0","0","191","0","0","2","22","3","0","3804","470","0","0","16","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","982","206","114","10","4","5897","128","181","11","2551","120","1","23","3","0","0","0","0","0","0","0","0"
MIL_MCC,,,,,,"-1","0","0",,,"6208","0","1053","0","0","4","0","287","0","0","0","6","0","0","1590","1040","2","0","363","0","0","0","0","0","0","0","0","0","12","0","0","1","0","0","0","53","1312","984","566","108","13","5800","391","665","57","4155","1136","64","0","0","0","0","0","0","0","1","0","0"
KAT_SAU,,,,,,"-1","0","0",,,"2017","1","41","0","0","0","0","95","0","0","52","3","0","0","427","4252","0","0","129","2","0","0","0","0","2","0","18","1","7","0","0","0","0","0","0","4","1284","118","44","8","0","10578","730","2008","16","3310","14","7","1","0","0","0","0","0","0","0","0","0"
KAT_SAU_2,,,,,,"-1","0","0",,,"3434","4","206","0","3","2","0","68","0","0","10","25","0","0","434","5193","0","0","156","2","0","0","0","0","8","0","36","1","7","0","0","0","4","0","0","4","1285","127","54","8","3","8293","549","1224","5","3990","18","6","1","0","0","0","0","6","0","0","0","0"
KAT_TEE,,,,,,"-1","0","0",,,"2314","0","82","0","0","0","0","4","0","0","0","35","0","0","510","1381","0","0","0","0","0","0","0","0","0","0","3","0","16","0","0","4","0","2","0","29","965","149","93","5","0","12049","948","3571","16","2705","449","57","0","0","0","0","0","0","0","2","0","0"
KAT_TEE_2,,,,,,"-1","0","0",,,"2254","0","113","0","2","0","0","119","0","0","0","112","0","0","869","1708","0","0","5","0","0","0","0","0","7","0","0","0","12","0","0","0","0","0","0","50","926","148","62","1","5","11257","1120","4400","13","1931","258","28","0","0","0","0","0","0","0","0","0","0"
KAT_HAB_2,,,,,,"-1","0","0",,,"4396","0","339","0","3","0","0","262","0","0","0","39","0","0","1209","4505","0","0","27","8","0","0","2","0","20","0","1","0","455","0","0","4","22","1","0","1","1102","160","97","21","10","5133","1671","3052","4","2467","529","19","8","0","0","0","0","0","0","0","0","0"
KAT_HAB,,,,,,"-1","0","0",,,"4450","3","1142","0","9","0","0","4","0","0","0","11","0","0","397","2134","0","0","6","5","0","0","0","0","1","0","8","0","175","0","0","2","117","0","0","20","2959","743","185","47","8","5492","653","3506","6","2935","476","29","0","0","0","0","0","0","0","4","0","1"
KAT_BAR,,,,,,"-1","0","0",,,"2382","3","239","0","0","1","0","25","0","0","6","15","0","0","343","1026","0","0","25","22","0","0","0","0","0","0","11","0","0","0","0","0","29","0","0","515","1063","474","355","14","33","10190","416","5188","23","2421","240","94","0","3","0","0","0","0","0","0","0","0"
SMI_LAT,,,,,,"-1","0","0",,,"5131","2","218","0","1","2","0","93","0","0","2","107","0","3","4773","1413","0","0","9","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","181","1445","479","165","21","7","5292","328","541","13","4069","1314","58","2","0","0","0","0","0","0","0","0","0"
SMI_DUR,,,,,,"-1","0","0",,,"2096","0","293","0","4","0","0","666","0","0","23","3","0","2","1168","1008","3","0","6","0","0","4","0","0","0","0","12","0","61","0","0","2","1","146","0","370","1623","631","252","36","54","7889","435","273","123","5071","3562","163","13","0","0","0","0","0","0","1","2","0"
SMI_HOF,,,,,,"-1","0","0",,,"3200","1","74","0","2","0","0","165","0","0","22","5","0","0","835","827","3","0","9","0","0","0","0","0","0","0","10","0","4","0","0","0","0","0","0","504","955","414","53","7","123","8099","507","4144","35","4591","667","137","8","0","0","0","0","0","0","0","0","0"
